message_id,original_message_id,case_id,observation_root_id,seed,sender_vehicle_id,pseudonym,message_type,generated_at,true_x,true_y,true_speed_mps,true_acceleration_mps2,reported_x,reported_y,reported_speed_mps,reported_acceleration_mps2,nonce,certificate_valid,denm_claimed,attack_type,ground_truth_malicious,retransmission_index,payload
cam-1001-veh_000-000000,cam-1001-veh_000-000000,case-grid-1001-veh_000-benign,root-cdc9f869cf524b35d42110a1,1001,veh_000,ps-0b6a8266609a146f,CAM,1.0,8.3,-1.6,12.0,0.0,8.3,-1.6,12.0,0.0,nonce-cdc9f869cf524b35d421,True,False,benign,False,0,"{""attack_ended_at"": 1.0, ""case_opened_at"": 1.0, ""lane_id"": ""g00_g10_0"", ""road_id"": ""g00_g10""}"
cam-1001-veh_000-000001,cam-1001-veh_000-000001,case-grid-1001-veh_000-benign,root-183cc94014dd12223f9014d0,1001,veh_000,ps-0b6a8266609a146f,CAM,2.0,19.78046910113888,-1.6,11.480469101138883,-0.5195308988611167,19.78046910113888,-1.6,11.480469101138883,-0.5195308988611167,nonce-183cc94014dd12223f90,True,False,benign,False,0,"{""attack_ended_at"": 2.0, ""case_opened_at"": 2.0, ""lane_id"": ""g00_g10_0"", ""road_id"": ""g00_g10""}"
cam-1001-veh_001-000000,cam-1001-veh_001-000000,case-grid-1001-veh_001-benign,root-d891f6c8cbc045bdbf04a246,1001,veh_001,ps-11b4aa50327f89a0,CAM,2.0,798.4,791.6999999999999,13.0,0.0,798.4,791.6999999999999,13.0,0.0,nonce-d891f6c8cbc045bdbf04,True,False,benign,False,0,"{""attack_ended_at"": 2.0, ""case_opened_at"": 2.0, ""lane_id"": ""g22_g21_0"", ""road_id"": ""g22_g21""}"
cam-1001-veh_000-000002,cam-1001-veh_000-000002,case-grid-1001-veh_000-benign,root-a636bac97b95bab191d2bf2b,1001,veh_000,ps-0b6a8266609a146f,CAM,3.0,31.005281172981494,-1.6,11.224812071842612,-0.25565702929627143,31.005281172981494,-1.6,11.224812071842612,-0.25565702929627143,nonce-a636bac97b95bab191d2,True,False,benign,False,0,"{""attack_ended_at"": 3.0, ""case_opened_at"": 3.0, ""lane_id"": ""g00_g10_0"", ""road_id"": ""g00_g10""}"
cam-1001-veh_001-000001,cam-1001-veh_001-000001,case-grid-1001-veh_001-benign,root-0d16555e056404a7dd0f068d,1001,veh_001,ps-11b4aa50327f89a0,CAM,3.0,798.4,779.0078690551561,12.692130944843798,-0.30786905515620155,798.4,779.0078690551561,12.692130944843798,-0.30786905515620155,nonce-0d16555e056404a7dd0f,True,False,benign,False,0,"{""attack_ended_at"": 3.0, ""case_opened_at"": 3.0, ""lane_id"": ""g22_g21_0"", ""road_id"": ""g22_g21""}"
cam-1001-veh_002-000000,cam-1001-veh_002-000000,case-grid-1001-veh_002-benign,root-4e4d51c7dbe4be39b2e283c3,1001,veh_002,ps-e0bc27433007a32c,CAM,3.0,8.3,798.4,12.0,0.0,8.3,798.4,12.0,0.0,nonce-4e4d51c7dbe4be39b2e2,True,False,benign,False,0,"{""attack_ended_at"": 3.0, ""case_opened_at"": 3.0, ""lane_id"": ""g02_g12_0"", ""road_id"": ""g02_g12""}"
cam-1001-veh_000-000003,cam-1001-veh_000-000003,case-grid-1001-veh_000-benign,root-5a8753e0d710f8d27e96754f,1001,veh_000,ps-0b6a8266609a146f,CAM,4.0,42.70773760445185,-1.6,11.70245643147035,0.4776443596277389,42.70773760445185,-1.6,11.70245643147035,0.4776443596277389,nonce-5a8753e0d710f8d27e96,True,False,benign,False,0,"{""attack_ended_at"": 4.0, ""case_opened_at"": 4.0, ""lane_id"": ""g00_g10_0"", ""road_id"": ""g00_g10""}"
cam-1001-veh_001-000002,cam-1001-veh_001-000002,case-grid-1001-veh_001-benign,root-e32f65c71e5f3b7cb949e54c,1001,veh_001,ps-11b4aa50327f89a0,CAM,4.0,798.4,766.6446314105887,12.36323764456755,-0.3288933002762491,798.4,766.6446314105887,12.36323764456755,-0.3288933002762491,nonce-e32f65c71e5f3b7cb949,True,False,benign,False,0,"{""attack_ended_at"": 4.0, ""case_opened_at"": 4.0, ""lane_id"": ""g22_g21_0"", ""road_id"": ""g22_g21""}"
cam-1001-veh_002-000001,cam-1001-veh_002-000001,case-grid-1001-veh_002-benign,root-c3ce91ae9c7712c494296ec4,1001,veh_002,ps-e0bc27433007a32c,CAM,4.0,20.987086903729793,798.4,12.687086903729796,0.6870869037297958,20.987086903729793,798.4,12.687086903729796,0.6870869037297958,nonce-c3ce91ae9c7712c49429,True,False,benign,False,0,"{""attack_ended_at"": 4.0, ""case_opened_at"": 4.0, ""lane_id"": ""g02_g12_0"", ""road_id"": ""g02_g12""}"
cam-1001-veh_003-000000,cam-1001-veh_003-000000,case-grid-1001-veh_003-benign,root-97a2193d3695cf2ead5e2664,1001,veh_003,ps-13247f0afc865149,CAM,4.0,801.6,8.3,13.0,0.0,801.6,8.3,13.0,0.0,nonce-97a2193d3695cf2ead5e,True,False,benign,False,0,"{""attack_ended_at"": 4.0, ""case_opened_at"": 4.0, ""lane_id"": ""g20_g21_0"", ""road_id"": ""g20_g21""}"
cam-1001-veh_000-000004,cam-1001-veh_000-000004,case-grid-1001-veh_000-benign,root-5d22def66e8027073950d90e,1001,veh_000,ps-0b6a8266609a146f,CAM,5.0,54.37200599155857,-1.6,11.664268387106718,-0.038188044363632656,54.37200599155857,-1.6,11.664268387106718,-0.038188044363632656,nonce-5d22def66e8027073950,True,False,benign,False,0,"{""attack_ended_at"": 5.0, ""case_opened_at"": 5.0, ""lane_id"": ""g00_g10_0"", ""road_id"": ""g00_g10""}"
