seed,simulation_time,vehicle_id,x,y,speed_mps,acceleration_mps2,lane_id,lane_position_m,road_id
1001,1.0,veh_000,5.1,-4.8,12.0,0.0,c01_0,5.1,c01
1001,2.0,veh_000,19.265509898103772,-4.8,14.165509898103773,2.165509898103773,c01_0,19.265509898103772,c01
1001,2.0,veh_001,1594.9,4.8,13.0,0.0,c43_0,5.1,c43
1001,3.0,veh_000,35.73190578861162,-4.8,16.466395890507847,2.3008859924040745,c01_0,35.73190578861162,c01
1001,3.0,veh_001,1579.3854125343541,4.8,15.514587465645745,2.5145874656457448,c43_0,20.614587465645744,c43
1001,3.0,veh_002,5.1,-4.8,12.0,0.0,c01_0,5.1,c01
1001,4.0,veh_000,52.35887251661159,-4.8,16.62696672799997,0.16057083749212353,c01_0,52.35887251661159,c01
1001,4.0,veh_001,1563.405698225475,4.8,15.97971430887934,0.46512684323359466,c43_0,36.594301774525086,c43
1001,4.0,veh_002,18.965828293161465,-4.8,13.865828293161467,1.8658282931614671,c01_0,18.965828293161465,c01
1001,4.0,veh_003,1594.9,4.8,13.0,0.0,c43_0,5.1,c43
1001,5.0,veh_000,68.82296240627765,-4.8,16.464089889666067,-0.16287683833390432,c01_0,68.82296240627765,c01
1001,5.0,veh_001,1547.205636938028,4.8,16.200061287446882,0.2203469785675427,c43_0,52.794363061971964,c43
1001,5.0,veh_002,34.7850939074764,-4.8,15.819265614314938,1.953437321153471,c01_0,34.7850939074764,c01
1001,5.0,veh_003,1580.0268392389407,4.8,14.873160761059262,1.8731607610592622,c43_0,19.973160761059262,c43
1001,5.0,veh_004,5.1,-4.8,12.0,0.0,c01_0,5.1,c01
1001,6.0,veh_000,84.8226271500811,-4.8,15.999664743803443,-0.4644251458626236,c01_0,84.8226271500811,c01
1001,6.0,veh_001,1531.2610004064582,4.8,15.944636531569996,-0.25542475587688607,c43_0,68.73899959354196,c43
1001,6.0,veh_002,50.83865206165705,-4.8,16.05355815418065,0.2342925398657112,c01_0,50.83865206165705,c01
1001,6.0,veh_003,1563.4505598432013,4.8,16.57627939573955,1.7031186346802887,c43_0,36.54944015679881,c43
1001,6.0,veh_004,19.372254836685023,-4.8,14.272254836685024,2.2722548366850237,c01_0,19.372254836685023,c01
1001,6.0,veh_005,1594.9,4.8,13.0,0.0,c43_0,5.1,c43
1001,7.0,veh_000,101.49010519456118,-4.8,16.667478044480088,0.6678133006766451,c01_0,101.4901051945612,c01
1001,7.0,veh_001,1514.6501270275983,4.8,16.610873378859836,0.6662368472898397,c43_0,85.3498729724018,c43
1001,7.0,veh_002,67.49124421218411,-4.8,16.652592150527056,0.5990339963464066,c01_0,67.49124421218411,c01
1001,7.0,veh_003,1547.0001601505046,4.8,16.45039969269652,-0.12587970304302942,c43_0,52.99983984949533,c43
1001,7.0,veh_004,35.489923916063276,-4.8,16.11766907937825,1.8454142426932254,c01_0,35.489923916063276,c01
1001,7.0,veh_005,1580.0505123943183,4.8,14.849487605681642,1.8494876056816416,c43_0,19.94948760568164,c43
1001,7.0,veh_006,5.1,-4.8,12.0,0.0,c01_0,5.1,c01
1001,8.0,veh_000,118.13896810091569,-4.8,16.64886290635448,-0.018615138125607444,c01_0,118.13896810091568,c01
1001,8.0,veh_001,1498.2057420978135,4.8,16.444384929784576,-0.16648844907525984,c43_0,101.79425790218637,c43
1001,8.0,veh_002,84.1586868799897,-4.8,16.66744266780559,0.014850517278535591,c01_0,84.1586868799897,c01
1001,8.0,veh_003,1530.7138880377543,4.8,16.28627211275045,-0.1641275799460722,c43_0,69.28611196224578,c43
1001,8.0,veh_004,51.939069602927205,-4.8,16.449145686863922,0.33147660748567276,c01_0,51.9390696029272,c01
1001,8.0,veh_005,1564.062068716255,4.8,15.988443678063343,1.138956072381701,c43_0,35.93793128374498,c43
1001,8.0,veh_006,19.47967420181725,-4.8,14.37967420181725,2.3796742018172505,c01_0,19.47967420181725,c01
1001,8.0,veh_007,1594.9,4.8,13.0,0.0,c43_0,5.1,c43
1001,9.0,veh_000,134.63733740230091,-4.8,16.49836930138525,-0.15049360496923114,c01_0,134.63733740230091,c01
1001,9.0,veh_001,1482.3111710507096,4.8,15.894571047103966,-0.5498138826806098,c43_0,117.68882894929034,c43
1001,9.0,veh_002,100.709831385226,-4.8,16.551144505236298,-0.1162981625692936,c01_0,100.709831385226,c01
1001,9.0,veh_003,1514.1840452462807,4.8,16.529842791473495,0.24357067872304583,c43_0,85.81595475371928,c43
1001,9.0,veh_004,68.05584459155332,-4.8,16.116774988626133,-0.33237069823778853,c01_0,68.05584459155332,c01
1001,9.0,veh_005,1547.7891358951433,4.8,16.272932821111755,0.2844891430484129,c43_0,52.21086410485674,c43
1001,9.0,veh_006,35.684516710103495,-4.8,16.20484250828624,1.8251683064689903,c01_0,35.684516710103495,c01
1001,9.0,veh_007,1579.804959383076,4.8,15.095040616923942,2.095040616923942,c43_0,20.19504061692394,c43
1001,9.0,veh_008,5.1,-4.8,12.0,0.0,c01_0,5.1,c01
1001,10.0,veh_000,150.9034269772377,-4.8,16.266089574936778,-0.23227972644847128,c01_0,150.9034269772377,c01
1001,10.0,veh_001,1466.1542826388916,4.8,16.156888411818073,0.26231736471410727,c43_0,133.84571736110843,c43
1001,10.0,veh_002,117.00154662132265,-4.8,16.291715236096646,-0.2594292691396518,c01_0,117.00154662132265,c01
1001,10.0,veh_003,1498.151185605023,4.8,16.032859641257676,-0.4969831502158186,c43_0,101.84881439497696,c43
1001,10.0,veh_004,84.2968739996478,-4.8,16.241029408094477,0.12425441946834326,c01_0,84.2968739996478,c01
1001,10.0,veh_005,1531.6598191935616,4.8,16.129316701581704,-0.14361611953005138,c43_0,68.34018080643844,c43
1001,10.0,veh_006,52.041029981989425,-4.8,16.356513271885927,0.1516707635996859,c01_0,52.041029981989425,c01
1001,10.0,veh_007,1563.792300917143,4.8,16.012658465933058,0.9176178490091154,c43_0,36.207699082857,c43
1001,10.0,veh_008,19.100551153454,-4.8,14.000551153453998,2.0005511534539977,c01_0,19.100551153454,c01
1001,10.0,veh_009,1594.9,4.8,13.0,0.0,c43_0,5.1,c43
1001,11.0,veh_000,167.1898900902877,-4.8,16.28646311304998,0.020373538113201306,c01_0,167.1898900902877,c01
1001,11.0,veh_001,1449.9505570217455,4.8,16.20372561714612,0.04683720532804614,c43_0,150.04944297825455,c43
1001,11.0,veh_002,132.92485605125316,-4.8,15.923309429930525,-0.3684058061661215,c01_0,132.92485605125316,c01
1001,11.0,veh_003,1481.951485096747,4.8,16.199700508276003,0.16684086701832612,c43_0,118.04851490325296,c43
1001,11.0,veh_004,100.68634642649444,-4.8,16.389472426846623,0.14844301875214683,c01_0,100.68634642649442,c01
1001,11.0,veh_005,1515.557489337055,4.8,16.10232985650655,-0.02698684507515381,c43_0,84.44251066294498,c43
1001,11.0,veh_006,68.51764025657904,-4.8,16.47661027458962,0.1200970027036945,c01_0,68.51764025657904,c01
1001,11.0,veh_007,1547.4481559006917,4.8,16.344145016451368,0.33148655051831,c43_0,52.55184409930837,c43
1001,11.0,veh_008,35.451324104103264,-4.8,16.35077295064926,2.350221797195264,c01_0,35.451324104103264,c01
1001,11.0,veh_009,1580.0639767317148,4.8,14.836023268285206,1.8360232682852065,c43_0,19.936023268285204,c43
1001,11.0,veh_010,5.1,-4.8,12.0,0.0,c01_0,5.1,c01
1001,12.0,veh_000,183.62986043398737,-4.8,16.43997034369968,0.1535072306497014,c01_0,183.62986043398737,c01
1001,12.0,veh_001,1433.562560850666,4.8,16.38799617107958,0.1842705539334588,c43_0,166.43743914933412,c43
1001,12.0,veh_002,149.12390722229145,-4.8,16.199051171038302,0.2757417411077778,c01_0,149.12390722229145,c01
1001,12.0,veh_003,1466.051898424942,4.8,15.899586671805011,-0.30011383647099166,c43_0,133.948101575058,c43
1001,12.0,veh_004,117.02906917938964,-4.8,16.34272275289521,-0.04674967395141394,c01_0,117.02906917938964,c01
1001,12.0,veh_005,1499.3539730419031,4.8,16.203516295151786,0.10118643864523591,c43_0,100.64602695809677,c43
1001,12.0,veh_006,84.65118507506327,-4.8,16.133544818484225,-0.3430654561053963,c01_0,84.65118507506327,c01
1001,12.0,veh_007,1531.005455666962,4.8,16.442700233729557,0.09855521727818939,c43_0,68.99454433303792,c43
1001,12.0,veh_008,51.94603264965117,-4.8,16.494708545547912,0.14393559489865027,c01_0,51.94603264965117,c01
1001,12.0,veh_009,1563.3994235244486,4.8,16.664553207266145,1.8285299389809389,c43_0,36.60057647555135,c43
1001,12.0,veh_010,19.11865996693261,-4.8,14.01865996693261,2.01865996693261,c01_0,19.11865996693261,c01
1001,12.0,veh_011,1594.9,4.8,13.0,0.0,c43_0,5.1,c43
1001,13.0,veh_000,199.8364170115907,-4.8,16.206556577603333,-0.23341376609634779,c01_0,199.8364170115907,c01
1001,13.0,veh_001,1417.1683046888002,4.8,16.39425616186578,0.006259990786201541,c43_0,182.8316953111999,c43
1001,13.0,veh_002,165.36489463773555,-4.8,16.240987415444106,0.04193624440580379,c01_0,165.36489463773555,c01
1001,13.0,veh_003,1449.8500877955648,4.8,16.201810629377142,0.3022239575721315,c43_0,150.14991220443514,c43
1001,13.0,veh_004,133.3420532393316,-4.8,16.312984059941957,-0.029738692953252155,c01_0,133.3420532393316,c01
1001,13.0,veh_005,1483.035614896859,4.8,16.318358145044186,0.1148418498924002,c43_0,116.96438510314096,c43
1001,13.0,veh_006,100.8873732347321,-4.8,16.23618815966882,0.10264334118459573,c01_0,100.88737323473208,c01
1001,13.0,veh_007,1514.8656119204127,4.8,16.139843746549452,-0.3028564871801045,c43_0,85.13438807958738,c43
1001,13.0,veh_008,68.61300429357216,-4.8,16.666971643920988,0.17226309837307596,c01_0,68.61300429357216,c01
1001,13.0,veh_009,1546.895900479923,4.8,16.503523044525647,-0.16103016274049864,c43_0,53.104099520077,c43
1001,13.0,veh_010,35.56535737659317,-4.8,16.44669740966056,2.4280374427279483,c01_0,35.56535737659317,c01
1001,13.0,veh_011,1579.384779290664,4.8,15.51522070933599,2.51522070933599,c43_0,20.61522070933599,c43
1001,13.0,veh_012,5.1,-4.8,12.0,0.0,c01_0,5.1,c01
1001,14.0,veh_000,215.7282006467227,-4.8,15.891783635132017,-0.3147729424713166,c01_0,215.7282006467227,c01
1001,14.0,veh_001,1401.0957357150082,4.8,16.07256897379179,-0.3216871880739909,c43_0,198.90426428499168,c43
1001,14.0,veh_002,181.94043115654495,-4.8,16.575536518809386,0.3345491033652799,c01_0,181.94043115654495,c01
1001,14.0,veh_003,1433.2470972433546,4.8,16.60299055221025,0.40117992283310855,c43_0,166.7529027566454,c43
1001,14.0,veh_004,149.6527320326725,-4.8,16.310678793340923,-0.0023052666010343614,c01_0,149.6527320326725,c01
1001,14.0,veh_005,1466.4447531515175,4.8,16.590861745341684,0.27250360029749743,c43_0,133.55524684848262,c43
1001,14.0,veh_006,116.9546960789012,-4.8,16.067322844169105,-0.1688653154997155,c01_0,116.95469607890118,c01
1001,14.0,veh_007,1498.325391920479,4.8,16.540219999933615,0.40037625338416305,c43_0,101.674608079521,c43
1001,14.0,veh_008,85.23112266597803,-4.8,16.61811837240588,-0.048853271515106655,c01_0,85.23112266597803,c01
1001,14.0,veh_009,1530.8674251278303,4.8,16.02847535209265,-0.47504769243299805,c43_0,69.13257487216964,c43
1001,14.0,veh_010,51.66896906453186,-4.8,16.103611687938685,-0.3430857217218737,c01_0,51.66896906453185,c01
1001,14.0,veh_011,1563.4542908295384,4.8,15.930488461125643,0.4152677517896528,c43_0,36.545709170461635,c43
