topology,architecture,seed,case_id,committed,view,leader,prepare_votes,commit_votes,started_at,committed_at,view_changes,reason,message_count,bytes_sent,safety_violation
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_010-w0003,True,0,rsu-1,4,4,59.55358391847175,59.59490392542248,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_012-w0003,True,0,rsu-1,4,4,59.63496611997915,59.67120685599343,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_014-w0003,True,0,rsu-1,4,4,59.81846763413346,59.85757950620308,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_004-w0004,True,0,rsu-1,4,4,74.14581237945649,74.17875467348743,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_006-w0004,True,0,rsu-1,4,4,74.24417536395167,74.28058341008341,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_008-w0004,True,0,rsu-1,4,4,74.32463298268871,74.35852103709408,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_010-w0004,True,0,rsu-1,4,4,74.6423369297413,74.68178525691636,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_012-w0004,True,0,rsu-1,4,4,74.7235205522712,74.7676163500296,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_014-w0004,True,0,rsu-1,4,4,74.98084684703748,75.01135031176383,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_008-w0005,True,0,rsu-1,4,4,89.14478986129093,89.1793862234626,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_012-w0005,True,0,rsu-1,4,4,89.30519188180128,89.33924337135369,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1001,case-1001-veh_014-w0005,True,0,rsu-1,4,4,89.4698708146148,89.51072804445091,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_002-w0001,True,0,rsu-1,4,4,29.01719325223601,29.04414088615704,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_008-w0001,True,0,rsu-1,4,4,29.05706751011756,29.09602071397705,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_002-w0002,True,0,rsu-1,4,4,44.01930775740888,44.05964939958013,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_004-w0002,True,0,rsu-1,4,4,44.06420413994247,44.10062506563189,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_006-w0002,True,0,rsu-1,4,4,44.03834937009818,44.13760934922383,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_008-w0002,True,0,rsu-1,4,4,44.14017489506888,44.18279460423247,0,committed,29,10784,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_010-w0002,True,0,rsu-1,4,4,44.2163395901813,44.25337076116988,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_012-w0002,True,0,rsu-1,4,4,44.25581527402712,44.291251869277744,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_002-w0003,True,0,rsu-1,4,4,59.02081447404116,59.059136294247566,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_004-w0003,True,0,rsu-1,4,4,59.06654486821032,59.10573202311512,0,committed,27,10080,False
