topology,architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,cpu_time_seconds,peak_memory_kb,seed
smoke,centralized_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14093.947628142942,0.0,14058.589662801576,14159.383495283775,14176.473363208628,1.0000000000047748,5345,33.82911392405063,3762880,23815.69620253165,93,5921.605463049748,0.9826005612722172,,0,0,0,21,1,0,0,2.329757100029383,2.265625,4813.333984375,1001
smoke,distributed_rsu_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14273.86527887896,110.2103563903114,14133.414720305853,14310.543026434343,14355.618546542884,14.881529740691237,4815,30.4746835443038,3223168,20399.79746835443,101,5053.337624961936,0.9790238836967808,1.0,0,0,0,21,1,0,0,2.439410099992529,2.390625,4672.26171875,1001
smoke,ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.0300751879699248,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14794.730863667895,44.2040350814743,14288.534786614908,14835.08871715971,14972.907610373646,15.92208023756303,33154,209.83544303797467,24901380,157603.67088607594,638,3303.999603727379,0.9807564698075648,1.0,0,0,0,26,1,0,0,9.893317500012929,9.671875,19930.8251953125,1001
smoke,centralized_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14109.124635603968,0.0,14065.183687977384,14159.621110115537,14180.898009277853,1.0000000000047748,5421,34.31012658227848,3816384,24154.32911392405,119,5870.657030068422,0.978048330566316,,0,0,0,21,1,0,0,2.390755200001877,2.359375,4869.8837890625,1002
smoke,distributed_rsu_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14278.363313944525,117.99624019928244,14142.185069268904,14313.874651697804,14367.390067077304,15.98382393249409,4909,31.06962025316456,3291200,20830.37974683544,116,4986.490473989995,0.976369932776533,1.0,0,0,0,21,1,0,0,1.7119426999706775,1.6875,4744.2919921875,1002
smoke,ahmed_inspired_witness_vpuft,24,4,129,1,0.8571428571428571,0.96,0.0300751879699248,0.04,0.9699248120300752,0.9056603773584904,0.888777330115168,8000.0,14608.58467837968,44.33754216205035,14263.64832407536,14642.77179875191,14713.140893315169,14.023448518427273,27655,175.03164556962025,20721772,131150.45569620252,553,3183.277062508294,0.9800036159826432,1.0,0,0,0,28,1,0,0,6.288268199947197,6.125,16555.09765625,1002
smoke,centralized_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14103.111725951483,0.0,14064.08900621324,14160.959823064552,14196.722171738416,1.0000000000047748,5401,34.18354430379747,3802304,24065.21518987342,101,5868.245105721332,0.9812997593038326,,0,0,0,21,1,0,0,1.4603206999599934,1.453125,4835.634765625,1003
smoke,distributed_rsu_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14279.58312658022,113.1028340382727,14134.338032043906,14323.052777611834,14383.467540826035,14.779793076613146,4871,30.829113924050635,3265376,20666.93670886076,88,5010.675362157135,0.98193389447752,1.0,0,0,0,21,1,0,0,1.4235813999548554,1.4375,4704.75390625,1003
smoke,ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.0300751879699248,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14690.917337925688,43.849628258521456,14301.781207135917,14726.89263630313,14872.323445289425,15.7954320778515,29124,184.32911392405063,21854628,138320.43037974683,574,3242.001965818093,0.9802911687954952,1.0,0,0,0,26,1,0,0,9.027307100011967,8.53125,17396.2451171875,1003
smoke,centralized_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14094.25719040641,0.0,14061.730824064376,14153.414009115077,14164.050574387413,1.0000000000047748,5395,34.14556962025316,3798080,24038.481012658227,116,5844.507781279137,0.978498609823911,,0,0,0,21,1,0,0,1.279097999969963,1.25,4802.0341796875,1004
