architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,seed,cpu_time_seconds,peak_memory_kb,fault_activated_count,semantic_invalid_proposals,validator_recheck_failures,evidence_guard_checks,evidence_guard_rejections
distributed_extension_concealment_rsu,14.65,2.05,122.625,10.475,0.8770207688338493,0.5831821348940914,0.016492205540973175,0.41681786510590857,0.9835077944590267,0.6999405234111701,0.672232335560284,8012.499999999997,14308.369792110598,300.53110483781813,14182.05932386741,14414.63035805912,14474.01083606044,15.150327140324226,5804.025,39.159777886622614,6350632.0,42838.27287271417,114.275,4776.417287994202,0.9803400455682272,1.0,0.0,0.0,0.0,16.7,1.0,0.0,0.0,2.731390654998904,1005.5,2.6921875,6171.56513671875,0.0,0.0,0.0,0.0,0.0
distributed_extension_false_accusation_rsu,20.325,3.05,121.625,4.8,0.870551113540244,0.8090592251950948,0.024445136865264207,0.19094077480490523,0.9755548631347357,0.8375922547889623,0.8077897219249375,8012.499999999997,14509.149388153932,179.25350020290048,14233.863485690421,14605.285015401012,14671.210492979673,15.537988699575791,6448.625,43.459480034755025,8400260.8,56652.38649639542,127.05,4722.9647059535955,0.980290030564781,1.0,0.0,0.0,0.0,23.375,1.0,0.0,0.0,3.5579490774995066,1005.5,3.4953125,6650.80126953125,0.0,0.0,0.0,0.0,0.0
distributed_extension_guard_false_accusation_rsu,15.225,2.025,122.65,9.9,0.876606696826528,0.6052005295429208,0.016304235616161147,0.39479947045707914,0.9836957643838389,0.7083632033220192,0.6844632338513519,8012.499999999997,14397.480456947535,145.620724110546,14199.293647519811,14509.800865774643,14565.951313346988,15.468353589871763,6230.175,42.01385589741494,7313492.0,49465.09950994658,122.975,4862.536364690129,0.9802680216453366,1.0,0.0,0.0,0.0,17.25,1.0,0.0,0.0,3.228101764999883,1005.5,3.167578125,6566.439306640625,0.0,0.0,0.0,52.2,6.125
distributed_extension_guard_honest,15.225,2.025,122.65,9.9,0.876606696826528,0.6052005295429208,0.016304235616161147,0.39479947045707914,0.9836957643838389,0.7083632033220192,0.6844632338513519,8012.499999999997,14398.992941844732,143.94106415505019,14198.840160868038,14508.094707843662,14558.792033141348,15.603944799590106,5721.1,38.61774169061478,6930340.0,46908.16356131254,112.6,4751.130663509347,0.980332608518062,1.0,0.0,0.0,0.0,17.25,1.0,0.0,0.0,3.0556861075005144,1005.5,3.00546875,6066.8935546875,0.0,0.0,0.0,49.175,5.125
distributed_extension_honest,20.325,2.05,122.625,4.8,0.9081843591191416,0.8090592251950948,0.016492205540973175,0.19094077480490523,0.9835077944590267,0.8550982731990562,0.8302973626553655,8012.499999999997,14516.259983606567,178.52289079609258,14235.022699024765,14609.751361116429,14676.593974373125,15.524821214562982,5903.95,39.8275111867758,7907288.0,53360.30627948126,116.075,4627.768655509555,0.9803601596539121,1.0,0.0,0.0,0.0,22.375,1.0,0.0,0.0,3.350427127499279,1005.5,3.286328125,6144.77158203125,0.0,0.0,0.0,0.0,0.0
distributed_extension_malicious_validator,20.325,2.05,122.625,4.8,0.9081843591191416,0.8090592251950948,0.016492205540973175,0.19094077480490523,0.9835077944590267,0.8550982731990562,0.8302973626553655,8012.499999999997,14687.87904045805,273.04359718858245,14352.827873664937,14859.551681564646,14957.886793179136,15.574163000264146,5927.225,39.98246671822334,7909143.2,53371.53124001961,116.475,4656.862828584401,0.9803765460888825,1.0,0.0,0.0,7.625,22.375,1.0,0.0,0.0,3.370884142500654,1005.5,3.3125,6140.0643310546875,7.625,7.625,0.0,0.0,0.0
