configuration,alpha_C,alpha_rho,alpha_F,alpha_Q,alpha_eta,TP,FP,TN,FN,recall,frr,precision,specificity,f1,mcc,balanced_accuracy
selected,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
equal_weights,0.2,0.2,0.2,0.2,0.2,255,47,1932,147,0.6343283582089553,0.023749368367862556,0.8443708609271523,0.9762506316321374,0.7244318181818181,0.6873011388825195,0.8052894949205464
theoretical_prior,0.2,0.15,0.15,0.2,0.3,255,47,1932,147,0.6343283582089553,0.023749368367862556,0.8443708609271523,0.9762506316321374,0.7244318181818181,0.6873011388825195,0.8052894949205464
C_only,1.0,0.0,0.0,0.0,0.0,339,47,1932,63,0.8432835820895522,0.023749368367862556,0.8782383419689119,0.9762506316321374,0.8604060913705583,0.832986399195086,0.9097671068608448
rho_only,0.0,1.0,0.0,0.0,0.0,228,47,1932,174,0.5671641791044776,0.023749368367862556,0.8290909090909091,0.9762506316321374,0.6735598227474151,0.6369009023951016,0.7717074053683075
F_only,0.0,0.0,1.0,0.0,0.0,277,47,1932,125,0.6890547263681592,0.023749368367862556,0.8549382716049383,0.9762506316321374,0.7630853994490358,0.7268876559785039,0.8326526790001483
Q_only,0.0,0.0,0.0,1.0,0.0,361,47,1932,41,0.8980099502487562,0.023749368367862556,0.8848039215686274,0.9762506316321374,0.8913580246913579,0.8691269106008365,0.9371302909404469
eta_only,0.0,0.0,0.0,0.0,1.0,224,47,1932,178,0.5572139303482587,0.023749368367862556,0.8265682656826568,0.9762506316321374,0.6656760772659733,0.6292389897486529,0.7667322809901981
