topology,vehicle_count,architecture,backhaul_extra_latency_ms,attack_type,seed_count,cases__mean,TP__mean,FP__mean,TN__mean,FN__mean,attack_recall__mean,benign_false_revocation_rate__mean,cases__median,TP__median,FP__median,TN__median,FN__median,attack_recall__median,benign_false_revocation_rate__median,cases__std,TP__std,FP__std,TN__std,FN__std,attack_recall__std,benign_false_revocation_rate__std
urban_roundabout,60,centralized_remote_0ms_control,0.0,replay,10,3.7,2.6,0.6,0.4,0.1,0.9666666666666666,0.6,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.4830458915396479,0.5163977794943221,0.5163977794943222,0.5163977794943222,0.31622776601683794,0.105409255338946,0.5163977794943222
urban_roundabout,60,centralized_remote_0ms_control,0.0,speed_offset,10,3.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urban_roundabout,60,centralized_remote_100ms,100.0,benign,10,104.2,0.0,0.0,104.2,0.0,,0.0,104.0,0.0,0.0,104.0,0.0,,0.0,2.740640638812598,0.0,0.0,2.740640638812598,0.0,,0.0
urban_roundabout,60,centralized_remote_100ms,100.0,false_denm,10,3.0,1.5,0.0,0.0,1.5,0.5,,3.0,1.5,0.0,0.0,1.5,0.5,,0.0,0.5270462766947299,0.0,0.0,0.5270462766947299,0.17568209223157663,
urban_roundabout,60,centralized_remote_100ms,100.0,mixed,10,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urban_roundabout,60,centralized_remote_100ms,100.0,position_offset,9,2.888888888888889,0.0,0.0,2.888888888888889,0.0,,0.0,3.0,0.0,0.0,3.0,0.0,,0.0,1.2692955176439846,0.0,0.0,1.2692955176439846,0.0,,0.0
urban_roundabout,60,centralized_remote_100ms,100.0,replay,10,3.7,2.6,0.6,0.4,0.1,0.9666666666666666,0.6,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.4830458915396479,0.5163977794943221,0.5163977794943222,0.5163977794943222,0.31622776601683794,0.105409255338946,0.5163977794943222
urban_roundabout,60,centralized_remote_100ms,100.0,speed_offset,10,3.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urban_roundabout,60,distributed_density_honest,,benign,10,104.2,0.0,0.0,104.2,0.0,,0.0,104.0,0.0,0.0,104.0,0.0,,0.0,2.740640638812598,0.0,0.0,2.740640638812598,0.0,,0.0
urban_roundabout,60,distributed_density_honest,,false_denm,10,3.0,1.5,0.0,0.0,1.5,0.5,,3.0,1.5,0.0,0.0,1.5,0.5,,0.0,0.5270462766947299,0.0,0.0,0.5270462766947299,0.17568209223157663,
urban_roundabout,60,distributed_density_honest,,mixed,10,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urban_roundabout,60,distributed_density_honest,,position_offset,9,2.888888888888889,0.0,0.0,2.888888888888889,0.0,,0.0,3.0,0.0,0.0,3.0,0.0,,0.0,1.2692955176439846,0.0,0.0,1.2692955176439846,0.0,,0.0
urban_roundabout,60,distributed_density_honest,,replay,10,3.7,2.6,0.6,0.4,0.1,0.9666666666666666,0.6,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.4830458915396479,0.5163977794943221,0.5163977794943222,0.5163977794943222,0.31622776601683794,0.105409255338946,0.5163977794943222
urban_roundabout,60,distributed_density_honest,,speed_offset,10,3.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urban_roundabout,80,centralized_remote_0ms_control,0.0,benign,10,135.2,0.0,0.0,135.2,0.0,,0.0,135.0,0.0,0.0,135.0,0.0,,0.0,2.149935399546281,0.0,0.0,2.149935399546281,0.0,,0.0
urban_roundabout,80,centralized_remote_0ms_control,0.0,certificate_tamper,7,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
urban_roundabout,80,centralized_remote_0ms_control,0.0,false_denm,10,3.8,1.1,0.0,0.8,1.9,0.36666666666666664,0.0,4.0,1.0,0.0,1.0,2.0,0.3333333333333333,0.0,0.42163702135578385,0.8755950357709131,0.0,0.4216370213557839,0.8755950357709131,0.29186501192363773,0.0
urban_roundabout,80,centralized_remote_0ms_control,0.0,mixed,10,2.6,0.0,0.0,1.3,1.3,0.0,0.0,2.5,0.0,0.0,1.0,1.0,0.0,0.0,0.699205898780101,0.0,0.0,0.4830458915396479,0.4830458915396479,0.0,0.0
urban_roundabout,80,centralized_remote_0ms_control,0.0,position_offset,10,2.6,0.0,0.0,2.6,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,1.3498971154211057,0.0,0.0,1.3498971154211057,0.0,,0.0
urban_roundabout,80,centralized_remote_0ms_control,0.0,replay,10,8.0,4.0,1.9,2.1,0.0,1.0,0.475,8.0,4.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,0.31622776601683794,0.31622776601683805,0.0,0.0,0.07905694150420949
urban_roundabout,80,centralized_remote_0ms_control,0.0,speed_offset,10,5.8,3.9,0.0,0.9,1.0,0.795,0.0,6.0,4.0,0.0,1.0,1.0,0.8,0.0,0.4216370213557839,0.31622776601683794,0.0,0.31622776601683794,0.0,0.015811388300841913,0.0
urban_roundabout,80,centralized_remote_100ms,100.0,benign,10,135.2,0.0,0.0,135.2,0.0,,0.0,135.0,0.0,0.0,135.0,0.0,,0.0,2.149935399546281,0.0,0.0,2.149935399546281,0.0,,0.0
urban_roundabout,80,centralized_remote_100ms,100.0,certificate_tamper,7,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
urban_roundabout,80,centralized_remote_100ms,100.0,false_denm,10,3.8,1.1,0.0,0.8,1.9,0.36666666666666664,0.0,4.0,1.0,0.0,1.0,2.0,0.3333333333333333,0.0,0.42163702135578385,0.8755950357709131,0.0,0.4216370213557839,0.8755950357709131,0.29186501192363773,0.0
urban_roundabout,80,centralized_remote_100ms,100.0,mixed,10,2.6,0.0,0.0,1.3,1.3,0.0,0.0,2.5,0.0,0.0,1.0,1.0,0.0,0.0,0.699205898780101,0.0,0.0,0.4830458915396479,0.4830458915396479,0.0,0.0
urban_roundabout,80,centralized_remote_100ms,100.0,position_offset,10,2.6,0.0,0.0,2.6,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,1.3498971154211057,0.0,0.0,1.3498971154211057,0.0,,0.0
urban_roundabout,80,centralized_remote_100ms,100.0,replay,10,8.0,4.0,1.9,2.1,0.0,1.0,0.475,8.0,4.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,0.31622776601683794,0.31622776601683805,0.0,0.0,0.07905694150420949
urban_roundabout,80,centralized_remote_100ms,100.0,speed_offset,10,5.8,3.9,0.0,0.9,1.0,0.795,0.0,6.0,4.0,0.0,1.0,1.0,0.8,0.0,0.4216370213557839,0.31622776601683794,0.0,0.31622776601683794,0.0,0.015811388300841913,0.0
urban_roundabout,80,distributed_density_honest,,benign,10,135.2,0.0,0.0,135.2,0.0,,0.0,135.0,0.0,0.0,135.0,0.0,,0.0,2.149935399546281,0.0,0.0,2.149935399546281,0.0,,0.0
urban_roundabout,80,distributed_density_honest,,certificate_tamper,7,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
