topology,vehicle_count,seed,observed_vehicle_count,peak_concurrent_vehicles,cases,v2x_messages,detection_events,attack_vehicle_count,attack_vehicle_ratio,trace_path
urban_roundabout,60,1009,60,60,393,5627,42001,21,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_60\seed_1009\shared_detection_trace.jsonl
urban_roundabout,60,1010,60,60,394,5620,42238,21,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_60\seed_1010\shared_detection_trace.jsonl
urban_roundabout,80,1001,80,80,516,7345,58065,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1001\shared_detection_trace.jsonl
urban_roundabout,80,1002,80,80,517,7330,57834,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1002\shared_detection_trace.jsonl
urban_roundabout,80,1003,80,80,518,7347,58021,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1003\shared_detection_trace.jsonl
urban_roundabout,80,1004,80,80,519,7360,57974,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1004\shared_detection_trace.jsonl
urban_roundabout,80,1005,80,80,519,7350,57985,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1005\shared_detection_trace.jsonl
urban_roundabout,80,1006,80,80,518,7347,57726,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1006\shared_detection_trace.jsonl
urban_roundabout,80,1007,80,80,518,7342,57832,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1007\shared_detection_trace.jsonl
urban_roundabout,80,1008,80,80,518,7339,57709,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1008\shared_detection_trace.jsonl
urban_roundabout,80,1009,80,80,518,7338,57944,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1009\shared_detection_trace.jsonl
urban_roundabout,80,1010,80,80,517,7332,58123,28,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_80\seed_1010\shared_detection_trace.jsonl
urban_roundabout,100,1001,100,100,628,8863,72330,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1001\shared_detection_trace.jsonl
urban_roundabout,100,1002,100,100,630,8848,72131,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1002\shared_detection_trace.jsonl
urban_roundabout,100,1003,100,100,631,8853,72388,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1003\shared_detection_trace.jsonl
urban_roundabout,100,1004,100,100,632,8894,72559,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1004\shared_detection_trace.jsonl
urban_roundabout,100,1005,100,100,632,8880,72483,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1005\shared_detection_trace.jsonl
urban_roundabout,100,1006,100,100,632,8877,72151,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1006\shared_detection_trace.jsonl
urban_roundabout,100,1007,100,100,630,8852,72113,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1007\shared_detection_trace.jsonl
urban_roundabout,100,1008,100,100,631,8849,72053,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1008\shared_detection_trace.jsonl
urban_roundabout,100,1009,100,100,631,8856,72220,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1009\shared_detection_trace.jsonl
urban_roundabout,100,1010,100,100,629,8844,72398,35,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_100\seed_1010\shared_detection_trace.jsonl
