topology,vehicle_count,architecture,backhaul_extra_latency_ms,message_type,seed_count,messages__mean,delivered__mean,dropped__mean,bytes_total__mean,retransmissions__mean,mean_queue_delay_ms__mean,messages__median,delivered__median,dropped__median,bytes_total__median,retransmissions__median,mean_queue_delay_ms__median,messages__std,delivered__std,dropped__std,bytes_total__std,retransmissions__std,mean_queue_delay_ms__std
urban_roundabout,80,distributed_density_honest,,RSU_READ_CACHE_SYNC,10,22.5,21.8,0.7,25200.0,0.7,0.0,22.0,22.0,0.5,24640.0,0.5,0.0,1.9002923751652303,1.751190071541827,0.8232726023485646,2128.3274601850576,0.8232726023485646,0.0
urban_roundabout,80,distributed_density_honest,,VPUFT_EVIDENCE_BUNDLE,10,33.1,32.7,0.4,1181068.8,0.4,0.05451018988838803,33.0,33.0,0.0,1191136.0,0.0,0.0,2.6012817353502222,2.626785107312739,0.5163977794943222,91419.36372174599,0.5163977794943222,0.07821581031655568
urban_roundabout,100,centralized_remote_0ms_control,0.0,ATTESTATION_TO_SERVER,10,5900.4,5784.9,115.5,4153881.6,115.4,5904.983863941172,5902.5,5788.0,111.5,4155360.0,111.5,5901.684949303562,51.98333066153669,56.44751741416289,10.458914326491488,36596.26478572187,10.276186062932103,48.77805138325456
urban_roundabout,100,centralized_remote_100ms,100.0,ATTESTATION_TO_SERVER,10,5900.4,5784.9,115.5,4153881.6,115.4,5904.983863941172,5902.5,5788.0,111.5,4155360.0,111.5,5901.684949303562,51.98333066153669,56.44751741416289,10.458914326491488,36596.26478572187,10.276186062932103,48.77805138325456
urban_roundabout,100,distributed_density_honest,,COMMIT,10,228.2,224.4,3.8,80326.4,3.8,0.0,232.0,228.0,3.5,81664.0,3.5,0.0,13.92679272322079,13.91402170474087,1.3984117975602022,4902.231038573718,1.3984117975602022,0.0
urban_roundabout,100,distributed_density_honest,,LEDGER_REPLICATION,10,57.2,56.1,1.1,64064.0,1.1,0.0,57.5,57.0,1.0,64400.0,1.0,0.0,3.9944405810520647,3.4785054261852175,0.9944289260117533,4473.7734507783125,0.9944289260117533,0.0
urban_roundabout,100,distributed_density_honest,,PREPARE,10,229.4,224.4,5.0,80748.8,5.0,0.0,231.0,228.0,5.5,81312.0,5.5,0.0,14.135848832745141,13.91402170474087,1.8856180831641267,4975.818789126291,1.8856180831641267,0.0
urban_roundabout,100,distributed_density_honest,,PRE_PREPARE,10,57.3,56.1,1.2,31171.2,1.2,0.0,58.0,57.0,1.0,31552.0,1.0,0.0,3.0568684048294332,3.4785054261852175,0.9189365834726815,1662.9364122272116,0.9189365834726815,0.0
urban_roundabout,100,distributed_density_honest,,RSU_EVIDENCE_EXCHANGE,10,3489.9,3422.4,67.5,2456889.6,67.5,5601.340395917724,3506.5,3438.5,66.0,2468576.0,66.0,5584.13670767903,69.88951598376141,66.79853624477443,8.329999333066533,49202.219252568095,8.329999333066533,95.63146502770921
urban_roundabout,100,distributed_density_honest,,RSU_READ_CACHE_SYNC,10,38.4,37.4,1.0,43008.0,1.0,0.0,39.5,38.0,0.5,44240.0,0.5,0.0,2.319003617456812,2.319003617456811,1.3333333333333333,2597.2840515516286,1.3333333333333333,0.0
urban_roundabout,100,distributed_density_honest,,VPUFT_EVIDENCE_BUNDLE,10,57.6,56.1,1.5,1994726.4,1.5,0.21036088591439145,58.0,57.0,1.0,1979200.0,1.0,0.1248547670661688,4.005551702879948,3.4785054261852175,1.5092308563562362,128404.10946971716,1.5092308563562362,0.23819017964870443
