topology,vehicle_count,seed,architecture,backhaul_extra_latency_ms,case_id,committed,view,leader,prepare_votes,commit_votes,started_at,committed_at,view_changes,reason,message_count,bytes_sent,safety_violation,semantic_proposal_valid,fault_activated,validator_rechecks,validator_recheck_failures,invalid_proposal_attempted
urban_roundabout,20,1006,distributed_density_honest,,case-urban_roundabout-1006-veh_010-w0002,True,0,rsu-3,4,4,44.09672857332099,44.13188154237311,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1006,distributed_density_honest,,case-urban_roundabout-1006-veh_010-w0003,True,0,rsu-2,4,4,59.01240868293966,59.048303703770934,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1007,distributed_density_honest,,case-urban_roundabout-1007-veh_003-w0001,True,0,rsu-3,4,4,29.06682120354627,29.100607067515956,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1007,distributed_density_honest,,case-urban_roundabout-1007-veh_010-w0001,True,0,rsu-1,4,4,29.16189101338339,29.194085940082037,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1007,distributed_density_honest,,case-urban_roundabout-1007-veh_006-w0002,True,0,rsu-2,4,4,44.01265221552383,44.050406725120055,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1007,distributed_density_honest,,case-urban_roundabout-1007-veh_010-w0002,True,0,rsu-3,4,4,44.09760924708597,44.14029244725953,0,committed,29,10784,False,True,False,4,0,False
urban_roundabout,20,1007,distributed_density_honest,,case-urban_roundabout-1007-veh_010-w0003,True,0,rsu-2,4,4,59.01735655847369,59.05539062145857,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1008,distributed_density_honest,,case-urban_roundabout-1008-veh_003-w0001,True,0,rsu-1,4,4,29.04539253569694,29.08565802315725,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1008,distributed_density_honest,,case-urban_roundabout-1008-veh_010-w0001,True,0,rsu-1,4,4,29.127824269115344,29.158595412271865,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1008,distributed_density_honest,,case-urban_roundabout-1008-veh_006-w0002,True,0,rsu-2,4,4,44.01766594967973,44.0541433018903,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,20,1008,distributed_density_honest,,case-urban_roundabout-1008-veh_010-w0002,True,0,rsu-1,4,4,44.10135153209157,44.13603740466369,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1008,distributed_density_honest,,case-urban_roundabout-1008-veh_010-w0003,True,0,rsu-2,4,4,59.01613694902256,59.05423795985788,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,20,1009,distributed_density_honest,,case-urban_roundabout-1009-veh_003-w0001,True,0,rsu-4,4,4,29.04436679560169,29.088980178720703,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1009,distributed_density_honest,,case-urban_roundabout-1009-veh_010-w0001,True,0,rsu-4,4,4,29.157394905043535,29.198955797552607,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,20,1009,distributed_density_honest,,case-urban_roundabout-1009-veh_006-w0002,True,0,rsu-2,4,4,44.01195707328825,44.04817859010296,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,20,1009,distributed_density_honest,,case-urban_roundabout-1009-veh_010-w0002,True,0,rsu-3,4,4,44.101778634818785,44.1346744785771,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1009,distributed_density_honest,,case-urban_roundabout-1009-veh_010-w0003,True,0,rsu-2,4,4,59.017646569664045,59.06091736551263,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1010,distributed_density_honest,,case-urban_roundabout-1010-veh_003-w0001,True,0,rsu-4,4,4,29.045682660597155,29.080572209597637,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1010,distributed_density_honest,,case-urban_roundabout-1010-veh_010-w0001,True,0,rsu-3,4,4,29.137686546171008,29.176201809245562,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1010,distributed_density_honest,,case-urban_roundabout-1010-veh_006-w0002,True,0,rsu-2,4,4,44.013865144989644,44.043096097202145,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,20,1010,distributed_density_honest,,case-urban_roundabout-1010-veh_010-w0002,True,0,rsu-3,4,4,44.088883134699316,44.13370143587966,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,20,1010,distributed_density_honest,,case-urban_roundabout-1010-veh_010-w0003,True,0,rsu-3,4,4,59.039696137963794,59.07739247884346,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_003-w0000,True,0,rsu-1,4,4,14.051469396652017,14.086486568512905,0,committed,29,10784,False,True,False,4,0,False
urban_roundabout,40,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_003-w0001,True,0,rsu-2,4,4,29.048444673036432,29.081708961325848,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_006-w0002,True,0,rsu-2,4,4,44.010142604014725,44.047162961119376,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_027-w0002,True,0,rsu-1,4,4,44.06260626137265,44.09406798163487,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_027-w0003,True,0,rsu-1,4,4,59.05693683703953,59.09437706093737,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1002,distributed_density_honest,,case-urban_roundabout-1002-veh_003-w0000,True,0,rsu-3,4,4,14.036322094105088,14.068395538371686,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1002,distributed_density_honest,,case-urban_roundabout-1002-veh_003-w0001,True,0,rsu-3,4,4,29.044340495815412,29.07813552734937,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1002,distributed_density_honest,,case-urban_roundabout-1002-veh_006-w0002,True,0,rsu-2,4,4,44.01111034474906,44.057666932814364,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1002,distributed_density_honest,,case-urban_roundabout-1002-veh_027-w0002,True,0,rsu-4,4,4,44.05714734238773,44.09679563409843,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1002,distributed_density_honest,,case-urban_roundabout-1002-veh_027-w0003,True,0,rsu-1,4,4,59.04734107152275,59.08507264973703,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1003,distributed_density_honest,,case-urban_roundabout-1003-veh_003-w0000,True,0,rsu-3,4,4,14.037267412043446,14.080404820648344,0,committed,29,10784,False,True,False,4,0,False
urban_roundabout,40,1003,distributed_density_honest,,case-urban_roundabout-1003-veh_003-w0001,True,0,rsu-4,4,4,29.0394166074881,29.07735007950028,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1003,distributed_density_honest,,case-urban_roundabout-1003-veh_027-w0002,True,0,rsu-1,4,4,44.04310406862093,44.0769679745051,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1003,distributed_density_honest,,case-urban_roundabout-1003-veh_027-w0003,True,0,rsu-1,4,4,59.024246065647425,59.0606165414223,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1004,distributed_density_honest,,case-urban_roundabout-1004-veh_003-w0000,True,0,rsu-2,4,4,14.039836888009013,14.079023154055756,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1004,distributed_density_honest,,case-urban_roundabout-1004-veh_003-w0001,True,0,rsu-2,4,4,29.041299881639528,29.07737176775888,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1004,distributed_density_honest,,case-urban_roundabout-1004-veh_027-w0002,True,0,rsu-1,4,4,44.04996878024034,44.086863132253825,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1004,distributed_density_honest,,case-urban_roundabout-1004-veh_027-w0003,True,0,rsu-1,4,4,59.031828958050895,59.06901867376315,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1005,distributed_density_honest,,case-urban_roundabout-1005-veh_003-w0000,True,0,rsu-1,4,4,14.038539867159768,14.076057672515548,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1005,distributed_density_honest,,case-urban_roundabout-1005-veh_003-w0001,True,0,rsu-4,4,4,29.04136189088591,29.082690821814,0,committed,27,10080,False,True,False,4,0,False
