topology,vehicle_count,architecture,backhaul_extra_latency_ms,seed_count,trust_precision__mean,malicious_revocation_recall__mean,false_revocation_rate__mean,trust_f1__mean,mcc__mean,detection_latency_p95_ms__mean,qualification_latency_p95_ms__mean,consensus_latency_p95_ms__mean,latency_p50_ms__mean,latency_p95_ms__mean,latency_p99_ms__mean,ledger_consistency_delay_p95_ms__mean,messages_per_decision__mean,bytes_per_decision__mean,retransmissions__mean,mean_queue_delay_ms__mean,packet_delivery_ratio__mean,consensus_success_rate__mean,consensus_liveness_failures__mean,safety_violations__mean,view_changes__mean,runtime_seconds__mean,cpu_time_seconds__mean,peak_memory_kb__mean,trust_precision__median,malicious_revocation_recall__median,false_revocation_rate__median,trust_f1__median,mcc__median,detection_latency_p95_ms__median,qualification_latency_p95_ms__median,consensus_latency_p95_ms__median,latency_p50_ms__median,latency_p95_ms__median,latency_p99_ms__median,ledger_consistency_delay_p95_ms__median,messages_per_decision__median,bytes_per_decision__median,retransmissions__median,mean_queue_delay_ms__median,packet_delivery_ratio__median,consensus_success_rate__median,consensus_liveness_failures__median,safety_violations__median,view_changes__median,runtime_seconds__median,cpu_time_seconds__median,peak_memory_kb__median,trust_precision__std,malicious_revocation_recall__std,false_revocation_rate__std,trust_f1__std,mcc__std,detection_latency_p95_ms__std,qualification_latency_p95_ms__std,consensus_latency_p95_ms__std,latency_p50_ms__std,latency_p95_ms__std,latency_p99_ms__std,ledger_consistency_delay_p95_ms__std,messages_per_decision__std,bytes_per_decision__std,retransmissions__std,mean_queue_delay_ms__std,packet_delivery_ratio__std,consensus_success_rate__std,consensus_liveness_failures__std,safety_violations__std,view_changes__std,runtime_seconds__std,cpu_time_seconds__std,peak_memory_kb__std
urban_roundabout,20,centralized_remote_0ms_control,0.0,10,0.795,0.4333333333333333,0.03645512469650397,0.5604395604395604,0.5012022153936407,9064.999999999995,14042.573473937071,0.0,14028.863412241772,14054.154777359503,14067.735761609485,1.000000000001222,36.33311989565859,25578.51640654365,23.3,4016.227131029311,0.9824359744568639,,0.0,0.0,0.0,0.5257965899996634,0.5046875,1276.22333984375,0.8,0.4444444444444444,0.0357142857142857,0.5714285714285714,0.5115325317544313,9324.999999999996,14042.083963524048,0.0,14028.730623874297,14053.772779726993,14068.04046350297,1.000000000001222,35.817567567567565,25215.567567567567,22.5,4020.1893420686592,0.9826715177488596,,0.0,0.0,0.0,0.5093301000015344,0.484375,1271.16259765625,0.015811388300841913,0.03513641844631533,0.0019514486438493369,0.03475030395789428,0.03188669481780706,2099.8743348644052,3.552072918215264,0.0,0.5820321303903356,3.41669563517272,2.969818522080431,0.0,1.454762960982543,1024.1531245317094,3.802046232695699,94.73036536139405,0.0026286551451661978,,0.0,0.0,0.0,0.13097291727411722,0.13421946748288377,58.30531506283074
urban_roundabout,20,centralized_remote_100ms,100.0,10,0.795,0.4333333333333333,0.03645512469650397,0.5604395604395604,0.5012022153936407,9064.999999999995,14142.573473937071,0.0,14128.863412241772,14154.154777359505,14167.735761609485,1.000000000001222,36.33311989565859,25578.51640654365,23.3,4016.227131029311,0.9824359744568639,,0.0,0.0,0.0,0.49576015999991796,0.4765625,1250.34384765625,0.8,0.4444444444444444,0.0357142857142857,0.5714285714285714,0.5115325317544313,9324.999999999996,14142.083963524048,0.0,14128.730623874299,14153.772779726996,14168.04046350297,1.000000000001222,35.817567567567565,25215.567567567567,22.5,4020.1893420686592,0.9826715177488596,,0.0,0.0,0.0,0.5030002999992575,0.46875,1257.30029296875,0.015811388300841913,0.03513641844631533,0.0019514486438493369,0.03475030395789428,0.03188669481780706,2099.8743348644052,3.552072918214948,0.0,0.5820321303891397,3.4166956351733755,2.9698185220813875,0.0,1.454762960982543,1024.1531245317094,3.802046232695699,94.73036536139405,0.0026286551451661978,,0.0,0.0,0.0,0.1027206080606301,0.10500961017529141,32.366710907466846
urban_roundabout,20,distributed_density_honest,,10,0.795,0.4333333333333333,0.03645512469650397,0.5604395604395604,0.5012022153936407,9064.999999999995,14097.473233402638,78.51852886836348,14084.912323674638,14168.130520791578,14174.540702792176,14.879194392905788,28.411423404828973,30446.64209500965,19.2,3316.5573826076497,0.9815066085816996,1.0,0.0,0.0,0.0,0.7874107400006324,0.7484375,1206.547265625,0.8,0.4444444444444444,0.0357142857142857,0.5714285714285714,0.5115325317544313,9324.999999999996,14094.612606707526,74.12765894854125,14084.596289137622,14167.005658890981,14173.848492843897,14.98007546328104,28.44942084942085,30227.470839260313,19.5,3359.1826241680064,0.9816926897758461,1.0,0.0,0.0,0.0,0.8127511000020604,0.7890625,1211.328125,0.015811388300841913,0.03513641844631533,0.0019514486438493369,0.03475030395789428,0.03188669481780706,2099.8743348644052,8.898471875185868,8.856656408967044,6.942663413297559,10.483058630777597,13.084505146845608,1.2790786494758277,1.3064554475908772,1279.258503416053,3.6757463338907264,174.46719049821243,0.0032516299489170294,0.0,0.0,0.0,0.0,0.10079098166858191,0.09756419272145334,38.357050489275125
urban_roundabout,40,centralized_remote_0ms_control,0.0,10,0.8099999999999999,0.475,0.01330371509113346,0.5974358974358974,0.5881227332859069,9674.999999999998,14005.445465581675,0.0,14040.249508566052,14079.957695331785,14094.299565402156,1.0000000000008935,31.804937903727375,22390.676284224075,42.4,5291.612806179253,0.9823824724581571,,0.0,0.0,0.0,0.9060584200007724,0.8640625,2210.71669921875,0.8,0.5,0.0148156277436347,0.6153846153846154,0.6005147065602476,10200.000000000004,14054.672843675527,0.0,14040.254695976924,14080.287864227743,14092.333248934756,1.0000000000008669,31.758288288288284,22357.834954954953,42.0,5272.802930957465,0.982698230876925,,0.0,0.0,0.0,0.8916602999997849,0.859375,2218.40771484375,0.06992058987801011,0.05270462766947298,0.004680097463938259,0.0537850691369309,0.05615866582966429,999.2358191249073,152.50339430392273,0.0,2.539927695921851,4.087315157563039,5.047662090161812,4.2909605241603254e-14,0.4074908228928746,286.87353931658413,4.402019738458447,63.58270569058094,0.0018722200978417666,,0.0,0.0,0.0,0.0692031197421614,0.07105128844910398,25.57987013021077
urban_roundabout,40,centralized_remote_100ms,100.0,10,0.8099999999999999,0.475,0.01330371509113346,0.5974358974358974,0.5881227332859069,9674.999999999998,14105.445465581675,0.0,14140.249508566052,14179.957695331785,14194.299565402156,1.0000000000008935,31.804937903727375,22390.676284224075,42.4,5291.612806179253,0.9823824724581571,,0.0,0.0,0.0,0.9298815699999977,0.8953125,2208.13369140625,0.8,0.5,0.0148156277436347,0.6153846153846154,0.6005147065602476,10200.000000000004,14154.67284367553,0.0,14140.25469597692,14180.287864227743,14192.333248934756,1.0000000000008669,31.758288288288284,22357.834954954953,42.0,5272.802930957465,0.982698230876925,,0.0,0.0,0.0,0.9067358499996772,0.875,2218.24365234375,0.06992058987801011,0.05270462766947298,0.004680097463938259,0.0537850691369309,0.05615866582966429,999.2358191249073,152.50339430392154,0.0,2.539927695923382,4.087315157564273,5.047662090162622,4.2909605241603254e-14,0.4074908228928746,286.87353931658413,4.402019738458447,63.58270569058094,0.0018722200978417666,,0.0,0.0,0.0,0.08322514783563367,0.08654300572708216,24.11331524276899
urban_roundabout,40,distributed_density_honest,,10,0.8099999999999999,0.475,0.01330371509113346,0.5974358974358974,0.5881227332859069,9674.999999999998,13973.190475562727,79.11769661093578,14079.931274241255,14096.363618608582,14099.010945888838,14.137737304994644,21.772945742735214,19362.858931899773,31.0,4068.8835121477605,0.9812164500404046,1.0,0.0,0.0,0.0,1.177698949999467,1.14375,2058.1541015625,0.8,0.5,0.0148156277436347,0.6153846153846154,0.6005147065602476,10200.000000000004,14020.255855326173,78.13455973527752,14078.588370946905,14094.38314115151,14095.936924853253,14.254596008089049,21.751515151515154,19573.333333333332,33.5,4066.9666568707953,0.9798740653456596,1.0,0.0,0.0,0.0,1.1511532999975316,1.109375,2065.72021484375,0.06992058987801011,0.05270462766947298,0.004680097463938259,0.0537850691369309,0.05615866582966429,999.2358191249073,144.84310589936004,7.953978934112998,3.1349985985395996,9.57627296279385,11.329114705041574,1.0666570019607524,0.5429958004890801,547.6391580854109,4.714045207910318,251.61083775029547,0.002619285483756978,0.0,0.0,0.0,0.0,0.12126274235669071,0.12689535277367553,22.074388358893934
urban_roundabout,60,centralized_remote_0ms_control,0.0,10,0.9136904761904763,0.6277777777777778,0.0054806267306267,0.7423436041083099,0.7399001527649097,9519.999999999996,14071.794816338079,0.0,14053.273928903922,14101.898808576972,14113.652302753277,1.0000000000011864,26.843257435780977,18897.653234789806,59.4,5557.031734720227,0.9814752386784431,,0.0,0.0,0.0,1.2616487999999664,1.209375,2834.98623046875,0.8660714285714286,0.6,0.0089687902187902,0.7321428571428571,0.735450383657364,9574.999999999987,14071.727270923886,0.0,14053.656947928917,14101.569993978057,14114.303029038008,1.000000000001222,26.77176308539945,18847.321212121213,58.5,5553.757219610898,0.9819724596391264,,0.0,0.0,0.0,1.2268018999966444,1.1640625,2833.65625,0.07493856138103673,0.058384751001609024,0.004718229560434381,0.05276531346047836,0.05542243495367871,498.99899799498485,4.992107773117119,0.0,1.959220700660683,5.591445707007605,6.097357239962942,1.1227255333123758e-13,0.38021671890938397,267.6725701122065,5.501514942874067,27.71617854359841,0.0017605932068050247,,0.0,0.0,0.0,0.14124235758208045,0.15645819462932156,27.20363467500614
urban_roundabout,60,centralized_remote_100ms,100.0,10,0.9136904761904763,0.6277777777777778,0.0054806267306267,0.7423436041083099,0.7399001527649097,9519.999999999996,14171.794816338079,0.0,14153.273928903925,14201.89880857697,14213.652302753277,1.0000000000011864,26.843257435780977,18897.653234789806,59.4,5557.031734720227,0.9814752386784431,,0.0,0.0,0.0,1.2350259499995446,1.1953125,2833.98662109375,0.8660714285714286,0.6,0.0089687902187902,0.7321428571428571,0.735450383657364,9574.999999999987,14171.727270923886,0.0,14153.656947928916,14201.569993978057,14214.303029038014,1.000000000001222,26.77176308539945,18847.321212121213,58.5,5553.757219610898,0.9819724596391264,,0.0,0.0,0.0,1.247269449999294,1.21875,2831.3603515625,0.07493856138103673,0.058384751001609024,0.004718229560434381,0.05276531346047836,0.05542243495367871,498.99899799498485,4.992107773115781,0.0,1.9592207006590066,5.591445707006207,6.097357239960968,1.1227255333123758e-13,0.38021671890938397,267.6725701122065,5.501514942874067,27.71617854359841,0.0017605932068050247,,0.0,0.0,0.0,0.1179494666801654,0.1176783700801563,27.487027813753773
urban_roundabout,60,distributed_density_honest,,10,0.9136904761904763,0.6277777777777778,0.0054806267306267,0.7423436041083099,0.7399001527649097,9519.999999999996,14122.051400321277,106.7551204600909,14096.224912870643,14197.951871664889,14207.724202175265,13.72942610250199,17.5465395789606,16327.889404943508,40.4,4222.2345105648765,0.980750789146924,1.0,0.0,0.0,0.0,1.6462583500004258,1.5765625,2619.4857421875,0.8660714285714286,0.6,0.0089687902187902,0.7321428571428571,0.735450383657364,9574.999999999987,14128.04033969919,105.28277137738003,14090.112797302674,14202.304461253625,14204.818168135895,13.781175041352167,17.541565386485175,16156.398401983744,42.5,4206.255704969733,0.9797581932984571,1.0,0.0,0.0,0.0,1.5877443500030495,1.515625,2611.3291015625,0.07493856138103673,0.058384751001609024,0.004718229560434381,0.05276531346047836,0.05542243495367871,498.99899799498485,21.913350615094934,15.046633271562389,19.075955140475326,20.58123655989932,16.908502877631058,1.3132825296638753,0.5871469891562726,849.6903103153791,6.619835513230085,139.83529609008662,0.0029635987579016655,0.0,0.0,0.0,0.0,0.15968561239289986,0.16948304006022416,31.284427278468787
urban_roundabout,80,centralized_remote_0ms_control,0.0,10,0.8254545454545456,0.6475457875457875,0.0131330355281026,0.72520896816549,0.7087438968655001,10254.999999999993,14119.848045270002,0.0,14063.430989776743,14127.315124248253,14139.88458998255,1.000000000001222,26.312960783221058,18524.32439138763,80.7,5730.530049399897,0.9806674570703056,,0.0,0.0,0.0,1.3040685899999516,1.2734375,3716.01005859375,0.8181818181818182,0.6428571428571429,0.0138888888888888,0.7200000000000001,0.702446187235489,10049.999999999984,14118.53540170897,0.0,14063.178586146321,14127.359990892328,14136.695191210722,1.000000000001222,26.307066082802546,18520.174522292997,78.5,5726.746594199241,0.9811406160201293,,0.0,0.0,0.0,1.399594900005468,1.3671875,3705.556640625,0.029525375202335523,0.04881342375611749,0.002227000464811118,0.03904836389010718,0.04002744780518119,617.0944462199917,6.594273042299711,0.0,2.6228339258990765,6.079052588365069,8.712889291848816,0.0,0.4050205177075489,285.1344444661139,6.600505031182591,24.806038191009506,0.0016385660232593356,,0.0,0.0,0.0,0.29510621193160547,0.29057179172423686,48.739818542373854
