topology,vehicle_count,backhaul_extra_latency_ms,metric,paired_seed_count,distributed_mean,remote_mean,mean_difference_distributed_minus_remote,median_difference_distributed_minus_remote,difference_std,minimum_difference,maximum_difference,mean_difference_ci95_lower,mean_difference_ci95_upper,wilcoxon_raw_p,rank_biserial,holm_adjusted_p_within_metric,holm_reject_0_05,holm_adjusted_p_within_metric_and_backhaul,holm_reject_0_05_within_metric_and_backhaul,analysis_family
urban_roundabout,20,100.0,malicious_revocation_recall,10,0.4333333333333333,0.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,20,100.0,false_revocation_rate,10,0.03645512469650397,0.03645512469650397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,20,100.0,trust_f1,10,0.5604395604395604,0.5604395604395604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,20,100.0,mcc,10,0.5012022153936407,0.5012022153936407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,20,100.0,detection_latency_p95_ms,10,9064.999999999995,9064.999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,20,100.0,qualification_latency_p95_ms,10,14097.473233402638,14142.573473937071,-45.10024053443503,-46.23985835740223,7.451282805861719,-53.77801808570075,-28.335124085755524,-48.98820586267701,-40.494392585084555,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,consensus_latency_p95_ms,10,78.51852886836348,0.0,78.51852886836348,74.12765894854125,8.856656408967044,67.49563716837201,93.93187612068203,73.35241548253983,83.93285298559219,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,latency_p50_ms,10,14084.912323674642,14128.863412241772,-43.95108856713377,-43.9539077673744,7.011550258945942,-53.70543288721274,-28.169263236413826,-47.706794352774565,-39.67308412218705,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,latency_p95_ms,10,14168.130520791578,14154.154777359505,13.97574343207325,10.046832744358653,11.931118398554215,0.5624034979427961,34.76925104784641,7.60911989432192,21.220519463004056,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,latency_p99_ms,10,14174.540702792176,14167.735761609487,6.804941182691982,6.454023687356312,13.03109317214755,-9.273814979544113,31.296520065097866,-0.5028051631885774,14.810771110934013,0.232421875,0.45454545454545453,0.697265625,False,0.46484375,False,supplementary_exploratory_density
