topology,architecture,backhaul_extra_latency_ms,from_vehicle_count,to_vehicle_count,metric,previous_mean,current_mean,absolute_change,relative_change
urban_roundabout,centralized_remote_0ms_control,0.0,40,60,packet_delivery_ratio,0.9823824724581571,0.9814752386784431,-0.0009072337797140229,-0.0009235036303568261
urban_roundabout,centralized_remote_0ms_control,0.0,40,60,consensus_liveness_failures,0.0,0.0,0.0,
urban_roundabout,centralized_remote_0ms_control,0.0,40,60,safety_violations,0.0,0.0,0.0,
urban_roundabout,centralized_remote_0ms_control,0.0,40,60,view_changes,0.0,0.0,0.0,
urban_roundabout,centralized_remote_0ms_control,0.0,40,60,runtime_seconds,0.9060584200007724,1.2616487999999664,0.35559037999919396,0.39245855692052484
urban_roundabout,centralized_remote_0ms_control,0.0,40,60,cpu_time_seconds,0.8640625,1.209375,0.34531250000000013,0.39963833634719725
urban_roundabout,centralized_remote_0ms_control,0.0,40,60,peak_memory_kb,2210.71669921875,2834.98623046875,624.26953125,0.2823833245890855
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,trust_precision,0.9136904761904763,0.8254545454545456,-0.08823593073593072,-0.09657092093574177
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,malicious_revocation_recall,0.6277777777777778,0.6475457875457875,0.019768009768009742,0.03148886511718366
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,false_revocation_rate,0.0054806267306267,0.0131330355281026,0.007652408797475899,1.3962652765080499
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,trust_f1,0.7423436041083099,0.72520896816549,-0.017134635942819942,-0.02308181258381254
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,mcc,0.7399001527649097,0.7087438968655001,-0.031156255899409624,-0.042108730188773154
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,detection_latency_p95_ms,9519.999999999996,10254.999999999993,734.9999999999964,0.07720588235294082
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,qualification_latency_p95_ms,14071.794816338079,14119.848045270002,48.05322893192351,0.003414861398926258
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,consensus_latency_p95_ms,0.0,0.0,0.0,
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,latency_p50_ms,14053.273928903922,14063.430989776743,10.157060872821603,0.0007227540660067243
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,latency_p95_ms,14101.898808576972,14127.315124248253,25.416315671280245,0.001802332864268015
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,latency_p99_ms,14113.652302753277,14139.88458998255,26.232287229273425,0.001858646271465541
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,ledger_consistency_delay_p95_ms,1.0000000000011864,1.000000000001222,3.552713678800501e-14,3.552713678796286e-14
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,messages_per_decision,26.843257435780977,26.312960783221058,-0.5302966525599189,-0.01975530182313324
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,bytes_per_decision,18897.653234789806,18524.32439138763,-373.3288434021779,-0.019755301823132978
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,retransmissions,59.4,80.7,21.300000000000004,0.3585858585858587
urban_roundabout,centralized_remote_0ms_control,0.0,60,80,mean_queue_delay_ms,5557.031734720227,5730.530049399897,173.49831467966942,0.0312214007337146
