topology,vehicle_count,seed,remote_architecture,backhaul_extra_latency_ms,shared_cases,classification_changes,agreement_rate
urban_roundabout,80,1008,centralized_remote_0ms_control,0.0,157,0,1.0
urban_roundabout,80,1008,centralized_remote_100ms,100.0,157,0,1.0
urban_roundabout,80,1009,centralized_remote_0ms_control,0.0,160,0,1.0
urban_roundabout,80,1009,centralized_remote_100ms,100.0,160,0,1.0
urban_roundabout,80,1010,centralized_remote_0ms_control,0.0,160,0,1.0
urban_roundabout,80,1010,centralized_remote_100ms,100.0,160,0,1.0
urban_roundabout,100,1001,centralized_remote_0ms_control,0.0,202,0,1.0
urban_roundabout,100,1001,centralized_remote_100ms,100.0,202,0,1.0
urban_roundabout,100,1002,centralized_remote_0ms_control,0.0,201,0,1.0
urban_roundabout,100,1002,centralized_remote_100ms,100.0,201,0,1.0
urban_roundabout,100,1003,centralized_remote_0ms_control,0.0,200,0,1.0
urban_roundabout,100,1003,centralized_remote_100ms,100.0,200,0,1.0
urban_roundabout,100,1004,centralized_remote_0ms_control,0.0,203,0,1.0
urban_roundabout,100,1004,centralized_remote_100ms,100.0,203,0,1.0
urban_roundabout,100,1005,centralized_remote_0ms_control,0.0,200,0,1.0
urban_roundabout,100,1005,centralized_remote_100ms,100.0,200,0,1.0
urban_roundabout,100,1006,centralized_remote_0ms_control,0.0,205,0,1.0
urban_roundabout,100,1006,centralized_remote_100ms,100.0,205,0,1.0
urban_roundabout,100,1007,centralized_remote_0ms_control,0.0,201,0,1.0
urban_roundabout,100,1007,centralized_remote_100ms,100.0,201,0,1.0
urban_roundabout,100,1008,centralized_remote_0ms_control,0.0,201,0,1.0
urban_roundabout,100,1008,centralized_remote_100ms,100.0,201,0,1.0
urban_roundabout,100,1009,centralized_remote_0ms_control,0.0,203,0,1.0
urban_roundabout,100,1009,centralized_remote_100ms,100.0,203,0,1.0
urban_roundabout,100,1010,centralized_remote_0ms_control,0.0,201,0,1.0
urban_roundabout,100,1010,centralized_remote_100ms,100.0,201,0,1.0
