extra_backhaul_ms,central_p50_median_ms,central_p95_median_ms,distributed_p95_median_ms,central_detection_p95_median_ms,central_qualification_p95_median_ms,central_finalization_p95_median_ms,distributed_minus_central_p95_median_ms,classification_flips,TP_sum,FP_sum,TN_sum,FN_sum
0,14064.260577765055,14184.00204044941,14351.805757327249,8000.0,14130.11797192221,0.0,167.80371687783918,0,813,82,4905,192
20,14084.26057776506,14204.002040449406,14351.805757327242,8000.0,14150.117971922213,0.0,147.80371687783645,0,813,82,4905,192
50,14114.260577765055,14234.002040449406,14351.805757327242,8000.0,14180.117971922213,0.0,117.80371687783644,0,813,82,4905,192
100,14164.260577765055,14284.002040449412,14351.805757327249,8000.0,14230.117971922213,0.0,67.80371687783645,0,813,82,4905,192
200,14264.26057776506,14384.00204044941,14351.805757327245,8000.0,14330.117971922213,0.0,-32.19628312216355,0,813,82,4905,192
