event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-ef94e3d37049646b37c5f198,case-corridor-1007-veh_001-benign,root-9b6d0ced05002bea17a1fb40,1007,veh_001,ps-13e9c71e5c2d7b79,cam-1007-veh_001-000001,benign,rsu-6,rsu,rsu-6,3.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,6cd2944cd46fe7f3e6b82a847a7caca1846f9428ce4ffe6de52325ab5759b8e9,cell-6-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 35.90168490694239}"
det-08455df012ac7bacbc967a2f,case-corridor-1007-veh_002-benign,root-25f97912d9304dced4fb159f,1007,veh_002,ps-e4ac452de5477b38,cam-1007-veh_002-000000,benign,rsu-1,rsu,rsu-1,3.0,False,-1,0.78,0.96,0.99,0.76,0.92,8183600bb7bc0e96163b3dfbdb8dbbda91bba03ae7ae3e2ce3a8f4c086dd8ec6,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 99.46883934177578}"
det-8011d7ac92873d327d6186d6,case-corridor-1007-veh_002-benign,root-25f97912d9304dced4fb159f,1007,veh_002,ps-e4ac452de5477b38,cam-1007-veh_002-000000,benign,rsu-2,rsu,rsu-2,3.0,False,-1,0.78,0.948,0.99,0.76,0.68,680e757e37edf157cb34a915a9d7b407c75e6412b3defd68953654cd511426ad,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 376.08250424607627}"
wdet-6dd25833d4324caf56ff22b2,case-corridor-1007-veh_002-benign,wroot-a9661e54b3750ce94431785c,1007,veh_002,ps-e4ac452de5477b38,cam-1007-veh_002-000000,benign,veh_000,vehicle_witness,rsu-1,3.0,False,-1,0.78,0.9170490533395376,0.99,0.76,0.8516754456477355,06cc6eb7bb1418e6a1a00a3ee186b3920ef5d4741027e8a416913737e3538075,cell-0--1,domain-1,vehicle_witness_observation,clean_observation,"{""case_opened_at"": 3.0, ""compromised_witness"": false, ""witness_distance_m"": 30.847494797236287}"
det-56f9f9adeae7bc1b9ed58adb,case-corridor-1007-veh_000-benign,root-ec6294ae1a3ab159474f8883,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000003,benign,rsu-1,rsu,rsu-1,4.0,False,-1,0.78,0.96,0.99,0.76,0.92,b457129ff566a4a28a7b5b1407dd2a9a6ed9b8f594b885748917957492309629,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 56.05219163354326}"
det-6903194289f7bd50e4866248,case-corridor-1007-veh_000-benign,root-ec6294ae1a3ab159474f8883,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000003,benign,rsu-2,rsu,rsu-2,4.0,False,-1,0.78,0.948,0.99,0.76,0.68,fa1dc21fef3fa4a528e5e61ac34df5e1484b24b4539436c49a215d55749657a8,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 328.82738700554967}"
wdet-cd06cd36631cf6176f2f1c93,case-corridor-1007-veh_000-benign,wroot-2107dc13223b5f2dac7b062b,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000003,benign,veh_002,vehicle_witness,rsu-1,4.0,False,-1,0.78,0.8614626375641913,0.99,0.76,0.8774368867324019,dc257a6030d00610a74dd1f1c099d0cb17ee7dd100c0a6a5c326826327751dc4,cell-0--1,domain-1,vehicle_witness_observation,clean_observation,"{""case_opened_at"": 4.0, ""compromised_witness"": false, ""witness_distance_m"": 33.506489913742996}"
det-26593a86a36f0303d246630c,case-corridor-1007-veh_001-benign,root-8c731b9d69deadbd240b4b40,1007,veh_001,ps-13e9c71e5c2d7b79,cam-1007-veh_001-000002,benign,rsu-5,rsu,rsu-5,4.0,False,-1,0.78,0.9119999999999999,0.99,0.76,0.92,e10082e770cca5addabb2893d8101174c8311177372df6694d37255cc21d4be5,cell-5-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 284.4853364606295}"
det-27d36cff8832e6b5d2b8cd9a,case-corridor-1007-veh_001-benign,root-8c731b9d69deadbd240b4b40,1007,veh_001,ps-13e9c71e5c2d7b79,cam-1007-veh_001-000002,benign,rsu-6,rsu,rsu-6,4.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,2d3c8df7f143fed98f6f62d58b7c8395d5f3613ff7821857922945cfcdb6ba1e,cell-6-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 24.44540602014543}"
wdet-fff5d8e1d5ae834323fa97c4,case-corridor-1007-veh_001-benign,wroot-2c532f0506faf57c9df2fe20,1007,veh_001,ps-13e9c71e5c2d7b79,cam-1007-veh_001-000002,benign,veh_003,vehicle_witness,rsu-6,4.0,False,-1,0.78,0.9563751070062907,0.99,0.76,0.876475849280653,995c0129447b39d11900133e519d268dec7a91c5a3b0e2a8d2c523e1683ea0ca,cell-6-0,domain-3,vehicle_witness_observation,clean_observation,"{""case_opened_at"": 4.0, ""compromised_witness"": false, ""witness_distance_m"": 31.132724471059646}"
