message_id,original_message_id,case_id,observation_root_id,seed,sender_vehicle_id,pseudonym,message_type,generated_at,true_x,true_y,true_speed_mps,true_acceleration_mps2,reported_x,reported_y,reported_speed_mps,reported_acceleration_mps2,nonce,certificate_valid,denm_claimed,attack_type,ground_truth_malicious,retransmission_index,payload
cam-1004-veh_000-000000,cam-1004-veh_000-000000,case-corridor-1004-veh_000-benign,root-2973cc9bc4ca44ef01b5168d,1004,veh_000,ps-f24b1c185256bc0d,CAM,1.0,5.1,-4.8,12.0,0.0,5.1,-4.8,12.0,0.0,nonce-2973cc9bc4ca44ef01b5,True,False,benign,False,0,"{""attack_ended_at"": 1.0, ""case_opened_at"": 1.0, ""lane_id"": ""c01_0"", ""road_id"": ""c01""}"
cam-1004-veh_000-000001,cam-1004-veh_000-000001,case-corridor-1004-veh_000-benign,root-c3b38d9ef1d5d1b3f61e23d4,1004,veh_000,ps-f24b1c185256bc0d,CAM,2.0,19.045863902065904,-4.8,13.945863902065902,1.945863902065902,19.045863902065904,-4.8,13.945863902065902,1.945863902065902,nonce-c3b38d9ef1d5d1b3f61e,True,False,benign,False,0,"{""attack_ended_at"": 2.0, ""case_opened_at"": 2.0, ""lane_id"": ""c01_0"", ""road_id"": ""c01""}"
cam-1004-veh_001-000000,cam-1004-veh_001-000000,case-corridor-1004-veh_001-benign,root-0b8c39abd24008c6741a8f5f,1004,veh_001,ps-dd262e115d961f55,CAM,2.0,1594.9,4.8,13.0,0.0,1594.9,4.8,13.0,0.0,nonce-0b8c39abd24008c6741a,True,False,benign,False,0,"{""attack_ended_at"": 2.0, ""case_opened_at"": 2.0, ""lane_id"": ""c43_0"", ""road_id"": ""c43""}"
cam-1004-veh_000-000002,cam-1004-veh_000-000002,case-corridor-1004-veh_000-benign,root-fe854e687f573d4c61a5b554,1004,veh_000,ps-f24b1c185256bc0d,CAM,3.0,35.106141259674914,-4.8,16.06027735760901,2.114413455543108,35.106141259674914,-4.8,16.06027735760901,2.114413455543108,nonce-fe854e687f573d4c61a5,True,False,benign,False,0,"{""attack_ended_at"": 3.0, ""case_opened_at"": 3.0, ""lane_id"": ""c01_0"", ""road_id"": ""c01""}"
cam-1004-veh_001-000001,cam-1004-veh_001-000001,case-corridor-1004-veh_001-benign,root-44c610221d42250204340423,1004,veh_001,ps-dd262e115d961f55,CAM,3.0,1579.6549497026904,4.8,15.245050297309644,2.2450502973096444,1579.6549497026904,4.8,15.245050297309644,2.2450502973096444,nonce-44c610221d4225020434,True,False,benign,False,0,"{""attack_ended_at"": 3.0, ""case_opened_at"": 3.0, ""lane_id"": ""c43_0"", ""road_id"": ""c43""}"
cam-1004-veh_002-000000,cam-1004-veh_002-000000,case-corridor-1004-veh_002-benign,root-bbdf23f04f3d7f2e5af94546,1004,veh_002,ps-75ae2fe0359e7421,CAM,3.0,5.1,-4.8,12.0,0.0,5.1,-4.8,12.0,0.0,nonce-bbdf23f04f3d7f2e5af9,True,False,benign,False,0,"{""attack_ended_at"": 3.0, ""case_opened_at"": 3.0, ""lane_id"": ""c01_0"", ""road_id"": ""c01""}"
cam-1004-veh_000-000003,cam-1004-veh_000-000003,case-corridor-1004-veh_000-benign,root-9a40a20b330d47052a1f8e3b,1004,veh_000,ps-f24b1c185256bc0d,CAM,4.0,51.22453329632059,-4.8,16.118392036645673,0.05811467903666312,51.22453329632059,-4.8,16.118392036645673,0.05811467903666312,nonce-9a40a20b330d47052a1f,True,False,benign,False,0,"{""attack_ended_at"": 4.0, ""case_opened_at"": 4.0, ""lane_id"": ""c01_0"", ""road_id"": ""c01""}"
cam-1004-veh_001-000002,cam-1004-veh_001-000002,case-corridor-1004-veh_001-benign,root-094b55dfdf3d1a722dabf978,1004,veh_001,ps-dd262e115d961f55,CAM,4.0,1563.5795046089124,4.8,16.075445093777965,0.8303947964683207,1563.5795046089124,4.8,16.075445093777965,0.8303947964683207,nonce-094b55dfdf3d1a722dab,True,False,benign,False,0,"{""attack_ended_at"": 4.0, ""case_opened_at"": 4.0, ""lane_id"": ""c43_0"", ""road_id"": ""c43""}"
cam-1004-veh_002-000001,cam-1004-veh_002-000001,case-corridor-1004-veh_002-benign,root-597300c81198264a0b45db70,1004,veh_002,ps-75ae2fe0359e7421,CAM,4.0,19.20129075693432,-4.8,14.101290756934322,2.101290756934322,19.20129075693432,-4.8,14.101290756934322,2.101290756934322,nonce-597300c81198264a0b45,True,False,benign,False,0,"{""attack_ended_at"": 4.0, ""case_opened_at"": 4.0, ""lane_id"": ""c01_0"", ""road_id"": ""c01""}"
cam-1004-veh_003-000000,cam-1004-veh_003-000000,case-corridor-1004-veh_003-benign,root-66ca56bb686884ca7b6afc55,1004,veh_003,ps-0e9ccfb189ad5475,CAM,4.0,1594.9,4.8,13.0,0.0,1594.9,4.8,13.0,0.0,nonce-66ca56bb686884ca7b6a,True,False,benign,False,0,"{""attack_ended_at"": 4.0, ""case_opened_at"": 4.0, ""lane_id"": ""c43_0"", ""road_id"": ""c43""}"
cam-1004-veh_000-000004,cam-1004-veh_000-000004,case-corridor-1004-veh_000-benign,root-d08c847eb2b0b42c08f817a9,1004,veh_000,ps-f24b1c185256bc0d,CAM,5.0,67.2839404831268,-4.8,16.059407186806204,-0.05898484983946872,67.2839404831268,-4.8,16.059407186806204,-0.05898484983946872,nonce-d08c847eb2b0b42c08f8,True,False,benign,False,0,"{""attack_ended_at"": 5.0, ""case_opened_at"": 5.0, ""lane_id"": ""c01_0"", ""road_id"": ""c01""}"
cam-1004-veh_001-000003,cam-1004-veh_001-000003,case-corridor-1004-veh_001-benign,root-eb7f28ded1a8e8acaa6385d9,1004,veh_001,ps-dd262e115d961f55,CAM,5.0,1547.2174855273543,4.8,16.362019081558103,0.28657398778013743,1547.2174855273543,4.8,16.362019081558103,0.28657398778013743,nonce-eb7f28ded1a8e8acaa63,True,False,benign,False,0,"{""attack_ended_at"": 5.0, ""case_opened_at"": 5.0, ""lane_id"": ""c43_0"", ""road_id"": ""c43""}"
cam-1004-veh_002-000002,cam-1004-veh_002-000002,case-corridor-1004-veh_002-benign,root-007a277e6732ff6b790dccea,1004,veh_002,ps-75ae2fe0359e7421,CAM,5.0,35.64086988216266,-4.8,16.439579125228338,2.338288368294016,35.64086988216266,-4.8,16.439579125228338,2.338288368294016,nonce-007a277e6732ff6b790d,True,False,benign,False,0,"{""attack_ended_at"": 5.0, ""case_opened_at"": 5.0, ""lane_id"": ""c01_0"", ""road_id"": ""c01""}"
cam-1004-veh_003-000001,cam-1004-veh_003-000001,case-corridor-1004-veh_003-benign,root-48df39afd7c4eb3c6e26d7ae,1004,veh_003,ps-0e9ccfb189ad5475,CAM,5.0,1579.9201571136293,4.8,14.979842886370607,1.9798428863706068,1579.9201571136293,4.8,14.979842886370607,1.9798428863706068,nonce-48df39afd7c4eb3c6e26,True,False,benign,False,0,"{""attack_ended_at"": 5.0, ""case_opened_at"": 5.0, ""lane_id"": ""c43_0"", ""road_id"": ""c43""}"
