configuration,TP,FP,TN,FN,precision,recall,frr,mcc
article_native_threshold_reference,255,500,661,0,0.33774834437086093,1.0,0.4306632213608958,0.438511749414764
ahmed_inspired_with_vpuft,225,42,1119,30,0.8426966292134831,0.8823529411764706,0.03617571059431524,0.8312504433998734
