seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1004,case-1004-veh_023-w0003,vehicle_witness,117,117,0,0.0
1004,case-1004-veh_023-w0004,rsu,86,15,71,0.8255813953488372
1004,case-1004-veh_023-w0004,vehicle_witness,83,83,0,0.0
1004,case-1004-veh_023-w0005,rsu,53,15,38,0.7169811320754716
1004,case-1004-veh_023-w0005,vehicle_witness,12,12,0,0.0
1004,case-1004-veh_023-w0006,rsu,2,1,1,0.5
1005,case-1005-veh_000-w0000,rsu,46,14,32,0.6956521739130435
1005,case-1005-veh_000-w0000,vehicle_witness,16,16,0,0.0
1005,case-1005-veh_000-w0001,rsu,85,15,70,0.8235294117647058
1005,case-1005-veh_000-w0001,vehicle_witness,44,44,0,0.0
1005,case-1005-veh_000-w0002,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_000-w0002,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_000-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_000-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_000-w0004,rsu,89,15,74,0.8314606741573034
1005,case-1005-veh_000-w0004,vehicle_witness,108,108,0,0.0
1005,case-1005-veh_000-w0005,rsu,60,15,45,0.75
1005,case-1005-veh_000-w0005,vehicle_witness,75,75,0,0.0
1005,case-1005-veh_000-w0006,rsu,6,3,3,0.5
1005,case-1005-veh_000-w0006,vehicle_witness,12,12,0,0.0
1005,case-1005-veh_001-w0000,rsu,40,13,27,0.675
1005,case-1005-veh_001-w0000,vehicle_witness,14,14,0,0.0
1005,case-1005-veh_001-w0001,rsu,83,15,68,0.8192771084337349
1005,case-1005-veh_001-w0001,vehicle_witness,40,40,0,0.0
1005,case-1005-veh_001-w0002,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_001-w0002,vehicle_witness,118,118,0,0.0
1005,case-1005-veh_001-w0003,rsu,79,15,64,0.810126582278481
1005,case-1005-veh_001-w0003,vehicle_witness,29,29,0,0.0
1005,case-1005-veh_001-w0004,rsu,16,8,8,0.5
1005,case-1005-veh_002-w0000,rsu,36,12,24,0.6666666666666666
1005,case-1005-veh_002-w0000,vehicle_witness,12,12,0,0.0
1005,case-1005-veh_002-w0001,rsu,83,15,68,0.8192771084337349
1005,case-1005-veh_002-w0001,vehicle_witness,35,35,0,0.0
1005,case-1005-veh_002-w0002,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_002-w0002,vehicle_witness,118,118,0,0.0
1005,case-1005-veh_002-w0003,rsu,67,15,52,0.7761194029850746
1005,case-1005-veh_002-w0003,vehicle_witness,24,24,0,0.0
1005,case-1005-veh_002-w0004,rsu,10,5,5,0.5
1005,case-1005-veh_002-w0004,vehicle_witness,5,5,0,0.0
1005,case-1005-veh_003-w0000,rsu,28,11,17,0.6071428571428571
1005,case-1005-veh_003-w0000,vehicle_witness,10,10,0,0.0
1005,case-1005-veh_003-w0001,rsu,80,15,65,0.8125
1005,case-1005-veh_003-w0001,vehicle_witness,50,50,0,0.0
1005,case-1005-veh_003-w0002,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_003-w0002,vehicle_witness,119,119,0,0.0
1005,case-1005-veh_003-w0003,rsu,82,15,67,0.8170731707317073
1005,case-1005-veh_003-w0003,vehicle_witness,94,94,0,0.0
1005,case-1005-veh_003-w0004,rsu,38,13,25,0.6578947368421053
1005,case-1005-veh_003-w0004,vehicle_witness,52,52,0,0.0
1005,case-1005-veh_004-w0000,rsu,22,10,12,0.5454545454545454
1005,case-1005-veh_004-w0000,vehicle_witness,18,18,0,0.0
1005,case-1005-veh_004-w0001,rsu,78,15,63,0.8076923076923077
1005,case-1005-veh_004-w0001,vehicle_witness,59,59,0,0.0
1005,case-1005-veh_004-w0002,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_004-w0002,vehicle_witness,116,116,0,0.0
1005,case-1005-veh_004-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_004-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_004-w0004,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_004-w0004,vehicle_witness,114,114,0,0.0
1005,case-1005-veh_004-w0005,rsu,78,15,63,0.8076923076923077
1005,case-1005-veh_004-w0005,vehicle_witness,75,75,0,0.0
1005,case-1005-veh_004-w0006,rsu,14,6,8,0.5714285714285714
1005,case-1005-veh_004-w0006,vehicle_witness,27,27,0,0.0
1005,case-1005-veh_005-w0000,rsu,21,9,12,0.5714285714285714
1005,case-1005-veh_005-w0000,vehicle_witness,15,15,0,0.0
1005,case-1005-veh_005-w0001,rsu,80,15,65,0.8125
1005,case-1005-veh_005-w0001,vehicle_witness,49,49,0,0.0
1005,case-1005-veh_005-w0002,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_005-w0002,vehicle_witness,119,119,0,0.0
1005,case-1005-veh_005-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_005-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_005-w0004,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_005-w0004,vehicle_witness,108,108,0,0.0
1005,case-1005-veh_005-w0005,rsu,66,15,51,0.7727272727272727
1005,case-1005-veh_005-w0005,vehicle_witness,60,60,0,0.0
1005,case-1005-veh_005-w0006,rsu,8,4,4,0.5
1005,case-1005-veh_005-w0006,vehicle_witness,16,16,0,0.0
1005,case-1005-veh_006-w0000,rsu,16,8,8,0.5
1005,case-1005-veh_006-w0000,vehicle_witness,12,12,0,0.0
1005,case-1005-veh_006-w0001,rsu,74,7,67,0.9054054054054054
1005,case-1005-veh_006-w0001,vehicle_witness,48,24,24,0.5
1005,case-1005-veh_006-w0002,rsu,75,4,71,0.9466666666666667
1005,case-1005-veh_006-w0002,vehicle_witness,117,54,63,0.5384615384615384
1005,case-1005-veh_006-w0003,rsu,75,4,71,0.9466666666666667
1005,case-1005-veh_006-w0003,vehicle_witness,54,33,21,0.3888888888888889
1005,case-1005-veh_006-w0004,rsu,50,4,46,0.92
1005,case-1005-veh_006-w0004,vehicle_witness,5,4,1,0.2
1005,case-1005-veh_007-w0000,rsu,14,7,7,0.5
1005,case-1005-veh_007-w0000,vehicle_witness,10,10,0,0.0
1005,case-1005-veh_007-w0001,rsu,75,15,60,0.8
1005,case-1005-veh_007-w0001,vehicle_witness,46,46,0,0.0
1005,case-1005-veh_007-w0002,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_007-w0002,vehicle_witness,116,116,0,0.0
1005,case-1005-veh_007-w0003,rsu,84,15,69,0.8214285714285714
1005,case-1005-veh_007-w0003,vehicle_witness,97,97,0,0.0
1005,case-1005-veh_007-w0004,rsu,45,14,31,0.6888888888888889
1005,case-1005-veh_007-w0004,vehicle_witness,55,55,0,0.0
1005,case-1005-veh_008-w0000,rsu,12,6,6,0.5
1005,case-1005-veh_008-w0000,vehicle_witness,14,14,0,0.0
1005,case-1005-veh_008-w0001,rsu,70,15,55,0.7857142857142857
1005,case-1005-veh_008-w0001,vehicle_witness,58,58,0,0.0
1005,case-1005-veh_008-w0002,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_008-w0002,vehicle_witness,115,115,0,0.0
1005,case-1005-veh_008-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_008-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_008-w0004,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_008-w0004,vehicle_witness,116,116,0,0.0
1005,case-1005-veh_008-w0005,rsu,80,15,65,0.8125
1005,case-1005-veh_008-w0005,vehicle_witness,75,75,0,0.0
1005,case-1005-veh_008-w0006,rsu,19,6,13,0.6842105263157895
1005,case-1005-veh_008-w0006,vehicle_witness,27,27,0,0.0
1005,case-1005-veh_009-w0000,rsu,10,5,5,0.5
1005,case-1005-veh_009-w0000,vehicle_witness,11,11,0,0.0
1005,case-1005-veh_009-w0001,rsu,67,15,52,0.7761194029850746
1005,case-1005-veh_009-w0001,vehicle_witness,57,57,0,0.0
1005,case-1005-veh_009-w0002,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_009-w0002,vehicle_witness,114,114,0,0.0
1005,case-1005-veh_009-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_009-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_009-w0004,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_009-w0004,vehicle_witness,111,111,0,0.0
1005,case-1005-veh_009-w0005,rsu,74,15,59,0.7972972972972973
