architecture,seed,case_id,committed,view,leader,prepare_votes,commit_votes,started_at,committed_at,view_changes,reason,message_count,bytes_sent,safety_violation
ahmed_inspired_witness_vpuft,1001,case-1001-veh_010-w0003,True,0,rsu-1,4,4,59.64151930383809,59.67782725413943,0,committed,28,10432,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_012-w0003,True,0,rsu-1,4,4,59.71886486531581,59.756617149914355,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_014-w0003,True,0,rsu-1,4,4,59.9023756804881,59.94343339198112,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_004-w0004,True,0,rsu-1,4,4,74.12050243493358,74.15839169072242,0,committed,29,10784,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_006-w0004,True,0,rsu-1,4,4,74.22453121218608,74.25514558909302,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_008-w0004,True,0,rsu-1,4,4,74.30630107099873,74.3489547920677,0,committed,28,10624,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_010-w0004,True,0,rsu-1,4,4,74.56647469745656,74.59950042352976,0,committed,28,10432,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_012-w0004,True,0,rsu-1,4,4,74.65552505885154,74.7018147842618,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_014-w0004,True,0,rsu-1,4,4,74.8263320764273,74.86913996628842,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_008-w0005,True,0,rsu-1,4,4,89.15111570185343,89.1966191498928,0,committed,29,10784,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_012-w0005,True,0,rsu-1,4,4,89.2965120752341,89.33507173170271,0,committed,28,10432,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_014-w0005,True,0,rsu-1,4,4,89.44680338182967,89.47819360555503,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_002-w0001,True,0,rsu-1,4,4,29.016557853022526,29.057492675461383,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_004-w0001,True,0,rsu-1,4,4,29.060255560846787,29.098901787470737,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_008-w0001,True,0,rsu-1,4,4,29.11491339967895,29.152779656090043,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_002-w0002,True,0,rsu-1,4,4,44.023132010993756,44.06136485393938,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_004-w0002,True,0,rsu-1,4,4,44.07198288418509,44.106375560087734,0,committed,28,10432,False
distributed_rsu_vpuft,1002,case-1002-veh_006-w0002,True,0,rsu-1,4,4,44.11094140883463,44.14807599738192,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_008-w0002,True,0,rsu-1,4,4,44.15473777353121,44.195565886314476,0,committed,29,10976,False
distributed_rsu_vpuft,1002,case-1002-veh_010-w0002,True,0,rsu-1,4,4,44.22917849364072,44.26654141979663,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_002-w0003,True,0,rsu-1,4,4,59.022100914306485,59.05963137148429,0,committed,28,10624,False
distributed_rsu_vpuft,1002,case-1002-veh_004-w0003,True,0,rsu-1,4,4,59.06772021909794,59.11348491661808,0,committed,28,10432,False
distributed_rsu_vpuft,1002,case-1002-veh_006-w0003,True,0,rsu-1,4,4,59.12389052972704,59.1611015869803,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_008-w0003,True,0,rsu-1,4,4,59.17530458796188,59.21672871165665,0,committed,29,10784,False
distributed_rsu_vpuft,1002,case-1002-veh_010-w0003,True,0,rsu-1,4,4,59.27638809442536,59.31147127397026,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_012-w0003,True,0,rsu-1,4,4,59.33803120141564,59.38061946062383,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_014-w0003,True,0,rsu-1,4,4,59.41868913814617,59.45328943914297,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_002-w0004,True,0,rsu-1,4,4,74.02633255377614,74.06382293045569,0,committed,28,10432,False
distributed_rsu_vpuft,1002,case-1002-veh_004-w0004,True,0,rsu-1,4,4,74.07821656660411,74.11409881865568,0,committed,28,10432,False
distributed_rsu_vpuft,1002,case-1002-veh_006-w0004,True,0,rsu-1,4,4,74.12903252939438,74.16646289823457,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_008-w0004,True,0,rsu-1,4,4,74.1765956713763,74.21029739192787,0,committed,28,10432,False
distributed_rsu_vpuft,1002,case-1002-veh_010-w0004,True,0,rsu-1,4,4,74.27715306294776,74.31736743641335,0,committed,29,10784,False
distributed_rsu_vpuft,1002,case-1002-veh_012-w0004,True,0,rsu-1,4,4,74.33015910890202,74.36683772934848,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_014-w0004,True,0,rsu-1,4,4,74.40220527340104,74.43657152166082,0,committed,27,10080,False
distributed_rsu_vpuft,1002,case-1002-veh_008-w0005,True,0,rsu-1,4,4,89.04396778519788,89.07696709350559,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_002-w0001,True,0,rsu-1,4,4,29.054986382978868,29.093412209487244,0,committed,29,10784,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_004-w0001,True,0,rsu-1,4,4,29.11566547929436,29.151322258586184,0,committed,28,10432,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_008-w0001,True,0,rsu-1,4,4,29.192527404684668,29.22212861933314,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_012-w0001,True,0,rsu-1,4,4,29.29170429565287,29.32412600594798,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_002-w0002,True,0,rsu-1,4,4,44.03553208283252,44.07101431641636,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_004-w0002,True,0,rsu-1,4,4,44.09940939822659,44.13859687726085,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_006-w0002,True,0,rsu-1,4,4,44.190478962629655,44.22541227193931,0,committed,28,10624,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_008-w0002,True,0,rsu-1,4,4,44.265093809398586,44.307136876276005,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_010-w0002,True,0,rsu-1,4,4,44.502640094845326,44.53902198494939,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_012-w0002,True,0,rsu-1,4,4,44.58106804896666,44.61633097348854,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_014-w0002,True,0,rsu-1,4,4,44.788739675581176,44.826721349494605,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_002-w0003,True,0,rsu-1,4,4,59.064105620485435,59.1007177151685,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_004-w0003,True,0,rsu-1,4,4,59.15397640076204,59.18818741921969,0,committed,28,10432,False
ahmed_inspired_witness_vpuft,1002,case-1002-veh_006-w0003,True,0,rsu-1,4,4,59.26125502770201,59.297176694829744,0,committed,27,10080,False
