configuration,TP,FP,TN,FN,precision,recall,frr,mcc
article_native_threshold_reference,250,681,649,0,0.26852846401718583,1.0,0.51203007518797,0.36198593121329464
ahmed_inspired_with_vpuft,230,41,1289,20,0.8487084870848709,0.92,0.030827067669172932,0.8608502101118245
