architecture,mean_mcc,mean_recall,mean_frr,mean_latency_p95_ms,mean_bytes_per_decision,mean_pdr,mean_consensus_success,mean_cpu_time_seconds,mean_peak_memory_kb,ledger_consistency_rate
ahmed_inspired_witness_vpuft,0.8607596270365544,0.9199999999999999,0.030827067669172932,14894.107455132116,162256.06582278482,0.9799469320752019,1.0,4.821875,19482.424609375,1.0
centralized_vpuft,0.8643491620892586,0.86,0.015789473684210527,14201.3856580029,30905.15443037975,0.9801065839584064,,1.621875,6169.07568359375,1.0
distributed_rsu_vpuft,0.8643491620892586,0.86,0.015789473684210527,14404.385400489478,29354.12658227848,0.9803178851639315,1.0,1.6640625,6155.88564453125,1.0
