configuration,TP,FP,TN,FN,precision,recall,frr,mcc
article_native_threshold_reference,250,657,673,0,0.2756339581036384,1.0,0.493984962406015,0.3734634221339373
ahmed_inspired_with_vpuft,224,40,1290,26,0.8484848484848485,0.896,0.03007518796992481,0.8471222732987355
