seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1007,case-1007-veh_022-w0005,vehicle_witness,99,99,0,0.0
1007,case-1007-veh_022-w0006,rsu,12,6,6,0.5
1007,case-1007-veh_022-w0006,vehicle_witness,27,27,0,0.0
1007,case-1007-veh_023-w0001,rsu,12,6,6,0.5
1007,case-1007-veh_023-w0001,vehicle_witness,48,48,0,0.0
1007,case-1007-veh_023-w0002,rsu,43,15,28,0.6511627906976745
1007,case-1007-veh_023-w0002,vehicle_witness,95,95,0,0.0
1007,case-1007-veh_023-w0003,rsu,33,15,18,0.5454545454545454
1007,case-1007-veh_023-w0003,vehicle_witness,117,117,0,0.0
1007,case-1007-veh_023-w0004,rsu,30,15,15,0.5
1007,case-1007-veh_023-w0004,vehicle_witness,70,70,0,0.0
1007,case-1007-veh_023-w0005,rsu,30,15,15,0.5
1007,case-1007-veh_023-w0005,vehicle_witness,45,45,0,0.0
1007,case-1007-veh_023-w0006,rsu,17,6,11,0.6470588235294118
1007,case-1007-veh_023-w0006,vehicle_witness,23,23,0,0.0
1008,case-1008-veh_000-w0000,rsu,28,14,14,0.5
1008,case-1008-veh_000-w0000,vehicle_witness,64,64,0,0.0
1008,case-1008-veh_000-w0001,rsu,34,15,19,0.5588235294117647
1008,case-1008-veh_000-w0001,vehicle_witness,75,75,0,0.0
1008,case-1008-veh_000-w0002,rsu,34,15,19,0.5588235294117647
1008,case-1008-veh_000-w0002,vehicle_witness,56,56,0,0.0
1008,case-1008-veh_000-w0003,rsu,30,15,15,0.5
1008,case-1008-veh_000-w0003,vehicle_witness,37,37,0,0.0
1008,case-1008-veh_000-w0004,rsu,31,15,16,0.5161290322580645
1008,case-1008-veh_000-w0004,vehicle_witness,62,62,0,0.0
1008,case-1008-veh_000-w0005,rsu,44,15,29,0.6590909090909091
1008,case-1008-veh_000-w0005,vehicle_witness,19,19,0,0.0
1008,case-1008-veh_000-w0006,rsu,12,6,6,0.5
1008,case-1008-veh_000-w0006,vehicle_witness,12,12,0,0.0
1008,case-1008-veh_001-w0000,rsu,31,13,18,0.5806451612903226
1008,case-1008-veh_001-w0000,vehicle_witness,67,67,0,0.0
1008,case-1008-veh_001-w0001,rsu,40,15,25,0.625
1008,case-1008-veh_001-w0001,vehicle_witness,68,68,0,0.0
1008,case-1008-veh_001-w0002,rsu,30,15,15,0.5
1008,case-1008-veh_001-w0002,vehicle_witness,92,92,0,0.0
1008,case-1008-veh_001-w0003,rsu,35,15,20,0.5714285714285714
1008,case-1008-veh_001-w0003,vehicle_witness,53,53,0,0.0
1008,case-1008-veh_001-w0004,rsu,31,15,16,0.5161290322580645
1008,case-1008-veh_001-w0004,vehicle_witness,45,45,0,0.0
1008,case-1008-veh_001-w0005,rsu,34,15,19,0.5588235294117647
1008,case-1008-veh_001-w0005,vehicle_witness,46,46,0,0.0
1008,case-1008-veh_001-w0006,rsu,12,6,6,0.5
1008,case-1008-veh_001-w0006,vehicle_witness,24,24,0,0.0
1008,case-1008-veh_002-w0000,rsu,24,12,12,0.5
1008,case-1008-veh_002-w0000,vehicle_witness,75,75,0,0.0
1008,case-1008-veh_002-w0001,rsu,35,15,20,0.5714285714285714
1008,case-1008-veh_002-w0001,vehicle_witness,106,106,0,0.0
1008,case-1008-veh_002-w0002,rsu,30,15,15,0.5
1008,case-1008-veh_002-w0002,vehicle_witness,109,109,0,0.0
1008,case-1008-veh_002-w0003,rsu,35,15,20,0.5714285714285714
1008,case-1008-veh_002-w0003,vehicle_witness,120,120,0,0.0
1008,case-1008-veh_002-w0004,rsu,30,15,15,0.5
1008,case-1008-veh_002-w0004,vehicle_witness,120,120,0,0.0
1008,case-1008-veh_002-w0005,rsu,35,15,20,0.5714285714285714
1008,case-1008-veh_002-w0005,vehicle_witness,116,116,0,0.0
1008,case-1008-veh_002-w0006,rsu,18,6,12,0.6666666666666666
1008,case-1008-veh_002-w0006,vehicle_witness,30,30,0,0.0
1008,case-1008-veh_003-w0000,rsu,25,11,14,0.56
1008,case-1008-veh_003-w0000,vehicle_witness,72,72,0,0.0
1008,case-1008-veh_003-w0001,rsu,42,15,27,0.6428571428571429
1008,case-1008-veh_003-w0001,vehicle_witness,86,86,0,0.0
1008,case-1008-veh_003-w0002,rsu,30,15,15,0.5
1008,case-1008-veh_003-w0002,vehicle_witness,97,97,0,0.0
1008,case-1008-veh_003-w0003,rsu,33,15,18,0.5454545454545454
1008,case-1008-veh_003-w0003,vehicle_witness,79,79,0,0.0
1008,case-1008-veh_003-w0004,rsu,32,15,17,0.53125
1008,case-1008-veh_003-w0004,vehicle_witness,45,45,0,0.0
1008,case-1008-veh_003-w0005,rsu,35,15,20,0.5714285714285714
1008,case-1008-veh_003-w0005,vehicle_witness,45,45,0,0.0
1008,case-1008-veh_003-w0006,rsu,12,6,6,0.5
1008,case-1008-veh_003-w0006,vehicle_witness,23,23,0,0.0
1008,case-1008-veh_004-w0000,rsu,20,10,10,0.5
1008,case-1008-veh_004-w0000,vehicle_witness,70,70,0,0.0
1008,case-1008-veh_004-w0001,rsu,34,15,19,0.5588235294117647
1008,case-1008-veh_004-w0001,vehicle_witness,120,120,0,0.0
1008,case-1008-veh_004-w0002,rsu,31,15,16,0.5161290322580645
1008,case-1008-veh_004-w0002,vehicle_witness,120,120,0,0.0
1008,case-1008-veh_004-w0003,rsu,35,15,20,0.5714285714285714
1008,case-1008-veh_004-w0003,vehicle_witness,120,120,0,0.0
1008,case-1008-veh_004-w0004,rsu,30,15,15,0.5
1008,case-1008-veh_004-w0004,vehicle_witness,120,120,0,0.0
1008,case-1008-veh_004-w0005,rsu,33,15,18,0.5454545454545454
1008,case-1008-veh_004-w0005,vehicle_witness,120,120,0,0.0
1008,case-1008-veh_004-w0006,rsu,18,6,12,0.6666666666666666
1008,case-1008-veh_004-w0006,vehicle_witness,34,34,0,0.0
1008,case-1008-veh_005-w0000,rsu,19,9,10,0.5263157894736842
1008,case-1008-veh_005-w0000,vehicle_witness,66,66,0,0.0
1008,case-1008-veh_005-w0001,rsu,45,15,30,0.6666666666666666
1008,case-1008-veh_005-w0001,vehicle_witness,107,107,0,0.0
1008,case-1008-veh_005-w0002,rsu,30,15,15,0.5
1008,case-1008-veh_005-w0002,vehicle_witness,111,111,0,0.0
