seed,event_id,case_id,source_kind,attack_type,ground_truth_attack_type,direction,ground_truth_malicious
1008,wdet-5399e1acfa5f4832c667ee36,case-1008-veh_012-w0001,vehicle_witness,false_denm,benign,0,0
1008,wdet-53ebdb5681df6202c73b02a0,case-1008-veh_020-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-5528f64d7abbea6220233d42,case-1008-veh_012-w0001,vehicle_witness,false_denm,benign,0,0
1008,wdet-557b4fcee3cfa6d9ac499062,case-1008-veh_002-w0001,vehicle_witness,position_offset,position_offset,1,1
1008,wdet-5a7a392eaafc29da139bc10d,case-1008-veh_006-w0001,vehicle_witness,replay,replay,1,1
1008,wdet-5ab0c99a6aa22b49cf838ff0,case-1008-veh_007-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-5af22f2e2dded1bb3a4304a9,case-1008-veh_002-w0001,vehicle_witness,position_offset,position_offset,1,1
1008,wdet-5d514d1e0d8e8d8fc8c1cbb3,case-1008-veh_012-w0001,vehicle_witness,false_denm,benign,0,0
1008,wdet-5dafa92f8cd4d29025a74b90,case-1008-veh_008-w0001,vehicle_witness,certificate_tamper,benign,-1,0
1008,wdet-5e0bb7301a07b1316a103e6c,case-1008-veh_017-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-5e226ebb5c702059521177cf,case-1008-veh_005-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-5f0824bf85488505bea0eaa6,case-1008-veh_020-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-5f47259847f5a87c0b4502fd,case-1008-veh_020-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-62a96efb2275d36649b64112,case-1008-veh_014-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-658b34ec056181f73906bbd2,case-1008-veh_004-w0001,vehicle_witness,speed_offset,speed_offset,1,1
1008,wdet-6744bb7170253ed41748ef55,case-1008-veh_005-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-6778639cc0faadfa61c25c8a,case-1008-veh_004-w0001,vehicle_witness,speed_offset,speed_offset,1,1
1008,wdet-690b19c95efdb4fdaf040d82,case-1008-veh_022-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-6cf61d7ff70d23e2b7d107cb,case-1008-veh_004-w0001,vehicle_witness,speed_offset,speed_offset,1,1
1008,wdet-6eaf1e0e6792bd3b3c17ab51,case-1008-veh_016-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-6ed29f8040962745c53d9367,case-1008-veh_017-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-6efaa3ee6da548c8c07ab156,case-1008-veh_016-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-6f25f000dda94dab966c9238,case-1008-veh_006-w0001,vehicle_witness,replay,replay,1,1
1008,wdet-6fbf610c9fef3cecd14d57b8,case-1008-veh_021-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-71d242c83f27948a9a6375db,case-1008-veh_002-w0001,vehicle_witness,position_offset,position_offset,1,1
1008,wdet-7314362dbeb3f602956f90d0,case-1008-veh_019-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-735630f76fd41966e591eef5,case-1008-veh_015-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-76e2042fe8916a938d7720d5,case-1008-veh_005-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-785aeb9a498f352b8e9b5157,case-1008-veh_018-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-7b0767c1fd710f7b273522c9,case-1008-veh_013-w0001,vehicle_witness,position_offset,benign,-1,0
1008,wdet-7ba4cfbb759cf84caa2fb419,case-1008-veh_019-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-81475dda57b8b85269850a7e,case-1008-veh_009-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-83d74e566dfbd071a4a33320,case-1008-veh_015-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-8443cf8bcc514531a3c17a09,case-1008-veh_020-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-846f4d5d203b301da558b0e8,case-1008-veh_021-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-850ae7a14e9bdee4110aabc8,case-1008-veh_003-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-85c2a56ee2e5445ac375c30b,case-1008-veh_020-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-861e5b8f6fa27f667e5337e6,case-1008-veh_018-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-87fe76eeb69c50d8969ade90,case-1008-veh_018-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-887cc77c310a96d946a6812e,case-1008-veh_006-w0001,vehicle_witness,replay,replay,1,1
1008,wdet-89f5a96f90ecd813c08103f1,case-1008-veh_018-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-8b9ba4afc57b08c48507b622,case-1008-veh_005-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-8cea9568b1abf09485e4e6e7,case-1008-veh_013-w0001,vehicle_witness,position_offset,benign,-1,0
1008,wdet-8cfdfb1d286ff0b5b26d9e5e,case-1008-veh_012-w0001,vehicle_witness,false_denm,benign,0,0
1008,wdet-8e772f81e2b79552cc5be7a1,case-1008-veh_018-w0001,vehicle_witness,benign,benign,-1,0
