architecture,mean_mcc,mean_recall,mean_frr,mean_latency_p95_ms,mean_bytes_per_decision,mean_pdr,mean_consensus_success,mean_cpu_time_seconds,mean_peak_memory_kb,ledger_consistency_rate
ahmed_inspired_witness_vpuft,0.8469294750808704,0.8960000000000001,0.03007518796992481,14778.181223480246,143574.99746835444,0.9800567055850173,1.0,5.6078125,18081.74404296875,1.0
centralized_vpuft,0.8144092736351979,0.784,0.015789473684210527,14158.415214171022,24004.172151898732,0.9802548346934767,,1.4828125,4822.65771484375,1.0
distributed_rsu_vpuft,0.8144092736351979,0.784,0.015789473684210527,14310.454327710477,20791.230379746834,0.9803636292461176,1.0,1.45,4712.5125,1.0
