Architecture,Precision,Recall,FRR,F1,MCC,Latency_P95_ms,Messages_per_Decision,Bytes_per_Decision,PDR,Consensus_Success,Runtime_s,Peak_Memory_KB
Centralized V-PUFT,0.9081843591191416,0.8090592251950948,0.0164922055409731,0.8550982731990562,0.8302973626553655,14183.84974728631,48.05367996191565,33829.790693188625,0.9801220100192588,,1.9936223299984703,6340.641357421875
Distributed RSU V-PUFT,0.9081843591191416,0.8090592251950948,0.0164922055409731,0.8550982731990562,0.8302973626553655,14356.600514393178,45.38592602984419,30779.183201862717,0.9803097862401102,1.0,2.057278237503488,6262.556323242187
Ahmed-Inspired Witness V-PUFT,0.8546122303622303,0.8939799331103678,0.0309310058889517,0.8730327292681587,0.8474167588271329,14682.748980079265,168.06151531273989,125295.28300508422,0.9802714497256098,1.0,4.307633517496288,14615.812377929688
