case_id,observation_root_id,seed,attack_type,label,validity,direction,source_id,source_kind,validator_rsu_id,administrative_domain_id,geographic_cell,sensor_modality,detector_confidence,source_reliability,freshness,verifiability,independence,observed_at,reason_codes
case-smoke-1004-veh_000-benign,root-2973cc9bc4ca44ef01b5168d,1004,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,1.0,clean_observation
case-smoke-1004-veh_000-benign,root-2973cc9bc4ca44ef01b5168d,1004,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,1.0,clean_observation
case-smoke-1004-veh_000-benign,root-c3b38d9ef1d5d1b3f61e23d4,1004,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,2.0,clean_observation
case-smoke-1004-veh_000-benign,root-c3b38d9ef1d5d1b3f61e23d4,1004,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,2.0,clean_observation
case-smoke-1004-veh_000-benign,wroot-d0673797d0ea3af158b81479,1004,benign,0,1,-1,veh_001,vehicle_witness,rsu-6,domain-3,cell-0-0,vehicle_witness_observation,0.78,0.81864240292656,0.99,0.76,0.9193166574592537,2.0,clean_observation
case-smoke-1004-veh_001-benign,root-0b8c39abd24008c6741a8f5f,1004,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,2.0,clean_observation
case-smoke-1004-veh_001-benign,root-0b8c39abd24008c6741a8f5f,1004,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,2.0,clean_observation
case-smoke-1004-veh_001-benign,wroot-d3f776f494e1fe30d2db9358,1004,benign,0,1,-1,veh_000,vehicle_witness,rsu-1,domain-1,cell-0--1,vehicle_witness_observation,0.78,0.7841602679815649,0.99,0.76,0.8757276571181888,2.0,clean_observation
case-smoke-1004-veh_000-benign,root-fe854e687f573d4c61a5b554,1004,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,3.0,clean_observation
case-smoke-1004-veh_000-benign,root-fe854e687f573d4c61a5b554,1004,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,3.0,clean_observation
case-smoke-1004-veh_000-benign,wroot-2ef78425ddb02b65aedf4811,1004,benign,0,1,1,veh_002,vehicle_witness,rsu-1,domain-1,cell-0--1,vehicle_witness_observation,0.62,0.449108111887948,0.99,0.86,0.9377144546200965,3.0,compromised_witness_false_report
case-smoke-1004-veh_000-benign,wroot-d5ca797dbb1ea8370111cbb4,1004,benign,0,1,-1,veh_001,vehicle_witness,rsu-6,domain-3,cell-0-0,vehicle_witness_observation,0.78,0.81864240292656,0.99,0.76,0.9246381062196052,3.0,clean_observation
case-smoke-1004-veh_001-benign,root-44c610221d42250204340423,1004,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,3.0,clean_observation
