topology,ttl_seconds,from_vehicle_count,to_vehicle_count,metric,previous_mean,current_mean,absolute_change,relative_change
corridor,0.0,20,40,observed_vehicle_count,20.0,40.0,20.0,1.0
corridor,0.0,20,40,interactions,1686.0,3378.0,1692.0,1.00355871886121
corridor,0.0,20,40,mean_active_vehicles,17.8,35.589473684210525,17.789473684210524,0.9994086339444114
corridor,0.0,20,40,peak_active_vehicles,20.0,40.0,20.0,1.0
corridor,0.0,20,40,cache_hits,0.0,0.0,0.0,
corridor,0.0,20,40,cache_misses,1686.0,3378.0,1692.0,1.00355871886121
corridor,0.0,20,40,cache_hit_rate,0.0,0.0,0.0,
corridor,0.0,20,40,v2i_queries,1686.0,3378.0,1692.0,1.00355871886121
corridor,0.0,20,40,v2i_queries_avoided,0.0,0.0,0.0,
corridor,0.0,20,40,query_failures,0.0,0.0,0.0,
corridor,0.0,20,40,accepted,1242.8,2454.4,1211.6000000000001,0.9748953974895399
corridor,0.0,20,40,rejected,443.2,923.6,480.40000000000003,1.0839350180505416
corridor,0.0,20,40,anomaly_escalations,33.0,65.6,32.599999999999994,0.9878787878787877
corridor,0.0,20,40,stale_trust_acceptances,0.0,0.0,0.0,
corridor,0.0,20,40,stale_acceptance_rate,0.0,0.0,0.0,
corridor,0.0,20,40,authorization_latency_mean_ms,16.966065004046026,16.902672468473092,-0.0633925355729339,-0.003736431256028796
corridor,0.0,20,40,authorization_latency_p95_ms,24.194941529100532,24.17746326829883,-0.01747826080170256,-0.0007223931820905842
corridor,0.0,20,40,messages_total,3442.8,6897.4,3454.5999999999995,1.003427442779133
corridor,0.0,20,40,messages_per_interaction,2.0419928825622775,2.0418590882178806,-0.00013379434439686477,-6.552145481965668e-05
corridor,0.0,20,40,bytes_total,2424179.2,4855500.8,2431321.5999999996,1.002946316839943
corridor,0.0,20,40,bytes_per_interaction,1437.828706998814,1437.389224393132,-0.43948260568186015,-0.00030565713672471746
corridor,0.0,20,40,cache_entries_final,222.9,477.1,254.20000000000002,1.1404217137729924
corridor,0.0,20,40,cache_entries_peak,222.9,477.1,254.20000000000002,1.1404217137729924
corridor,0.0,40,60,observed_vehicle_count,40.0,60.0,20.0,0.5
corridor,0.0,40,60,interactions,3378.0,4952.1,1574.1000000000004,0.46598579040852584
corridor,0.0,40,60,mean_active_vehicles,35.589473684210525,52.148421052631576,16.55894736842105,0.465276545400769
corridor,0.0,40,60,peak_active_vehicles,40.0,60.0,20.0,0.5
corridor,0.0,40,60,cache_hits,0.0,0.0,0.0,
corridor,0.0,40,60,cache_misses,3378.0,4952.1,1574.1000000000004,0.46598579040852584
corridor,0.0,40,60,cache_hit_rate,0.0,0.0,0.0,
corridor,0.0,40,60,v2i_queries,3378.0,4952.1,1574.1000000000004,0.46598579040852584
corridor,0.0,40,60,v2i_queries_avoided,0.0,0.0,0.0,
corridor,0.0,40,60,query_failures,0.0,0.0,0.0,
corridor,0.0,40,60,accepted,2454.4,3591.2,1136.7999999999997,0.4631681877444588
corridor,0.0,40,60,rejected,923.6,1360.9,437.30000000000007,0.47347336509311394
corridor,0.0,40,60,anomaly_escalations,65.6,97.3,31.700000000000003,0.48323170731707327
corridor,0.0,40,60,stale_trust_acceptances,0.0,0.0,0.0,
corridor,0.0,40,60,stale_acceptance_rate,0.0,0.0,0.0,
corridor,0.0,40,60,authorization_latency_mean_ms,16.902672468473092,16.91614410590369,0.013471637430598093,0.0007970122745811603
corridor,0.0,40,60,authorization_latency_p95_ms,24.17746326829883,24.172126560676713,-0.005336707622117132,-0.00022073066818033602
corridor,0.0,40,60,messages_total,6897.4,10112.2,3214.800000000001,0.4660886710934557
corridor,0.0,40,60,messages_per_interaction,2.0418590882178806,2.0419994338028773,0.0001403455849966484,6.873421667855687e-05
corridor,0.0,40,60,bytes_total,4855500.8,7117734.4,2262233.6000000006,0.4659114874412132
corridor,0.0,40,60,bytes_per_interaction,1437.389224393132,1437.3124353988328,-0.07678899429924968,-5.3422547627397244e-05
corridor,0.0,40,60,cache_entries_final,477.1,570.4,93.29999999999995,0.1955564871096205
corridor,0.0,40,60,cache_entries_peak,477.1,570.4,93.29999999999995,0.1955564871096205
corridor,0.0,60,80,observed_vehicle_count,60.0,80.0,20.0,0.3333333333333333
corridor,0.0,60,80,interactions,4952.1,6293.3,1341.1999999999998,0.27083459542416344
corridor,0.0,60,80,mean_active_vehicles,52.148421052631576,66.25578947368422,14.10736842105264,0.2705234048565836
corridor,0.0,60,80,peak_active_vehicles,60.0,80.0,20.0,0.3333333333333333
corridor,0.0,60,80,cache_hits,0.0,0.0,0.0,
corridor,0.0,60,80,cache_misses,4952.1,6293.3,1341.1999999999998,0.27083459542416344
corridor,0.0,60,80,cache_hit_rate,0.0,0.0,0.0,
corridor,0.0,60,80,v2i_queries,4952.1,6293.3,1341.1999999999998,0.27083459542416344
corridor,0.0,60,80,v2i_queries_avoided,0.0,0.0,0.0,
corridor,0.0,60,80,query_failures,0.0,0.0,0.0,
corridor,0.0,60,80,accepted,3591.2,4573.3,982.1000000000004,0.27347404767208744
corridor,0.0,60,80,rejected,1360.9,1720.0,359.0999999999999,0.2638694981262399
corridor,0.0,60,80,anomaly_escalations,97.3,129.0,31.700000000000003,0.3257965056526208
corridor,0.0,60,80,stale_trust_acceptances,0.0,0.0,0.0,
corridor,0.0,60,80,stale_acceptance_rate,0.0,0.0,0.0,
corridor,0.0,60,80,authorization_latency_mean_ms,16.91614410590369,16.92101705765243,0.004872951748740917,0.0002880651594260343
corridor,0.0,60,80,authorization_latency_p95_ms,24.172126560676713,24.1793465512044,0.007219990527687514,0.0002986907465325379
corridor,0.0,60,80,messages_total,10112.2,12855.0,2742.7999999999993,0.2712367239572001
corridor,0.0,60,80,messages_per_interaction,2.0419994338028773,2.0426451651740223,0.0006457313711449864,0.00031622504906498493
corridor,0.0,60,80,bytes_total,7117734.4,9048576.0,1930841.5999999996,0.2712719373175823
corridor,0.0,60,80,bytes_per_interaction,1437.3124353988328,1437.8073785787224,0.49494317988956027,0.000344353230167539
corridor,0.0,60,80,cache_entries_final,570.4,685.4,115.0,0.20161290322580647
corridor,0.0,60,80,cache_entries_peak,570.4,685.4,115.0,0.20161290322580647
corridor,0.0,80,100,observed_vehicle_count,80.0,100.0,20.0,0.25
corridor,0.0,80,100,interactions,6293.3,7454.7,1161.3999999999996,0.18454546899083146
corridor,0.0,80,100,mean_active_vehicles,66.25578947368422,78.48105263157895,12.22526315789473,0.18451614953211623
corridor,0.0,80,100,peak_active_vehicles,80.0,100.0,20.0,0.25
corridor,0.0,80,100,cache_hits,0.0,0.0,0.0,
corridor,0.0,80,100,cache_misses,6293.3,7454.7,1161.3999999999996,0.18454546899083146
corridor,0.0,80,100,cache_hit_rate,0.0,0.0,0.0,
corridor,0.0,80,100,v2i_queries,6293.3,7454.7,1161.3999999999996,0.18454546899083146
corridor,0.0,80,100,v2i_queries_avoided,0.0,0.0,0.0,
corridor,0.0,80,100,query_failures,0.0,0.0,0.0,
corridor,0.0,80,100,accepted,4573.3,5439.3,866.0,0.18935998075787724
corridor,0.0,80,100,rejected,1720.0,2015.4,295.4000000000001,0.17174418604651168
corridor,0.0,80,100,anomaly_escalations,129.0,146.5,17.5,0.13565891472868216
