topology,vehicle_count,seed,observed_vehicle_count,peak_concurrent_vehicles,cases,v2x_messages,detection_events,attack_vehicle_count,attack_vehicle_ratio,trace_path
smoke,80,1004,80,80,409,5159,51181,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1004\shared_detection_trace.jsonl
smoke,80,1005,80,80,409,5164,50915,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1005\shared_detection_trace.jsonl
smoke,80,1006,80,80,412,5211,52094,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1006\shared_detection_trace.jsonl
smoke,80,1007,80,80,414,5264,52626,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1007\shared_detection_trace.jsonl
smoke,80,1008,80,80,406,5100,50661,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1008\shared_detection_trace.jsonl
smoke,80,1009,80,80,413,5211,52134,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1009\shared_detection_trace.jsonl
smoke,80,1010,80,80,405,5101,51194,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1010\shared_detection_trace.jsonl
smoke,100,1001,100,100,453,5498,55956,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1001\shared_detection_trace.jsonl
smoke,100,1002,100,100,454,5483,54309,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1002\shared_detection_trace.jsonl
smoke,100,1003,100,100,452,5457,54383,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1003\shared_detection_trace.jsonl
smoke,100,1004,100,100,454,5480,54542,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1004\shared_detection_trace.jsonl
smoke,100,1005,100,100,454,5480,54236,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1005\shared_detection_trace.jsonl
smoke,100,1006,100,100,458,5542,55546,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1006\shared_detection_trace.jsonl
smoke,100,1007,100,100,461,5617,56315,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1007\shared_detection_trace.jsonl
smoke,100,1008,100,100,449,5393,53768,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1008\shared_detection_trace.jsonl
smoke,100,1009,100,100,459,5536,55557,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1009\shared_detection_trace.jsonl
smoke,100,1010,100,100,450,5419,54523,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_100\seed_1010\shared_detection_trace.jsonl
corridor,20,1001,20,20,133,1904,18384,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1001\shared_detection_trace.jsonl
corridor,20,1002,20,20,133,1904,18410,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1002\shared_detection_trace.jsonl
corridor,20,1003,20,20,133,1904,18398,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1003\shared_detection_trace.jsonl
corridor,20,1004,20,20,133,1904,18461,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1004\shared_detection_trace.jsonl
corridor,20,1005,20,20,133,1904,18399,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1005\shared_detection_trace.jsonl
corridor,20,1006,20,20,133,1904,18455,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1006\shared_detection_trace.jsonl
corridor,20,1007,20,20,133,1904,18437,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1007\shared_detection_trace.jsonl
corridor,20,1008,20,20,133,1904,18439,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1008\shared_detection_trace.jsonl
corridor,20,1009,20,20,133,1904,18442,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1009\shared_detection_trace.jsonl
corridor,20,1010,20,20,133,1904,18463,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_20\seed_1010\shared_detection_trace.jsonl
corridor,40,1001,40,40,266,3804,41014,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1001\shared_detection_trace.jsonl
corridor,40,1002,40,40,266,3804,41012,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1002\shared_detection_trace.jsonl
corridor,40,1003,40,40,266,3804,41023,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1003\shared_detection_trace.jsonl
corridor,40,1004,40,40,266,3804,41023,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1004\shared_detection_trace.jsonl
corridor,40,1005,40,40,266,3804,41019,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1005\shared_detection_trace.jsonl
corridor,40,1006,40,40,266,3804,41023,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1006\shared_detection_trace.jsonl
corridor,40,1007,40,40,266,3804,41021,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1007\shared_detection_trace.jsonl
corridor,40,1008,40,40,266,3804,41019,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1008\shared_detection_trace.jsonl
corridor,40,1009,40,40,266,3804,41022,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1009\shared_detection_trace.jsonl
corridor,40,1010,40,40,266,3804,41013,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_40\seed_1010\shared_detection_trace.jsonl
corridor,60,1001,60,60,393,5590,60355,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1001\shared_detection_trace.jsonl
corridor,60,1002,60,60,393,5598,60462,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1002\shared_detection_trace.jsonl
corridor,60,1003,60,60,394,5592,60394,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1003\shared_detection_trace.jsonl
corridor,60,1004,60,60,393,5594,60408,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1004\shared_detection_trace.jsonl
corridor,60,1005,60,60,394,5607,60567,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1005\shared_detection_trace.jsonl
corridor,60,1006,60,60,391,5573,60160,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1006\shared_detection_trace.jsonl
corridor,60,1007,60,60,391,5545,59827,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1007\shared_detection_trace.jsonl
corridor,60,1008,60,60,392,5573,60170,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1008\shared_detection_trace.jsonl
corridor,60,1009,60,60,394,5595,60414,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1009\shared_detection_trace.jsonl
corridor,60,1010,60,60,393,5601,60476,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_60\seed_1010\shared_detection_trace.jsonl
corridor,80,1001,80,80,502,7044,76019,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1001\shared_detection_trace.jsonl
corridor,80,1002,80,80,504,7074,76343,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1002\shared_detection_trace.jsonl
corridor,80,1003,80,80,503,7055,76146,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1003\shared_detection_trace.jsonl
corridor,80,1004,80,80,502,7036,75940,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1004\shared_detection_trace.jsonl
corridor,80,1005,80,80,505,7105,76712,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1005\shared_detection_trace.jsonl
corridor,80,1006,80,80,503,7073,76328,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1006\shared_detection_trace.jsonl
corridor,80,1007,80,80,499,6987,75371,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1007\shared_detection_trace.jsonl
corridor,80,1008,80,80,501,7030,75860,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1008\shared_detection_trace.jsonl
corridor,80,1009,80,80,503,7057,76185,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1009\shared_detection_trace.jsonl
corridor,80,1010,80,80,503,7084,76447,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_80\seed_1010\shared_detection_trace.jsonl
corridor,100,1001,100,100,602,8239,88830,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1001\shared_detection_trace.jsonl
corridor,100,1002,100,100,602,8255,88999,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1002\shared_detection_trace.jsonl
corridor,100,1003,100,100,603,8242,88877,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1003\shared_detection_trace.jsonl
corridor,100,1004,100,100,602,8212,88547,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1004\shared_detection_trace.jsonl
corridor,100,1005,100,100,604,8280,89315,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1005\shared_detection_trace.jsonl
corridor,100,1006,100,100,605,8310,89615,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1006\shared_detection_trace.jsonl
corridor,100,1007,100,100,602,8234,88786,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1007\shared_detection_trace.jsonl
corridor,100,1008,100,100,600,8211,88526,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1008\shared_detection_trace.jsonl
