event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-a04c42b109b25edbedc1de2d,case-grid-1006-veh_002-benign,root-76e5439077845b4337cfa4e7,1006,veh_002,ps-1c6d96a872d445c5,cam-1006-veh_002-000000,benign,rsu-5,rsu,rsu-5,3.0,False,-1,0.78,0.9119999999999999,0.99,0.76,0.92,fa006f96e4f5a322a7ef32ebe9f482500867da53db49016da686df7986d8dbfa,cell-0-3,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 191.7066769833539}"
det-c685e8bef25dbd914732fe6c,case-grid-1006-veh_002-benign,root-76e5439077845b4337cfa4e7,1006,veh_002,ps-1c6d96a872d445c5,cam-1006-veh_002-000000,benign,rsu-6,rsu,rsu-6,3.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,3109e92f690f9b1e57f1136e0216c5ffc8b713c4123fa9a1fee6f6cd02981691,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 398.4864489540391}"
det-bd9353ff57b519a8a9a1e74a,case-grid-1006-veh_000-benign,root-f9c1c9ec27ff6e8ca8c54bb8,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000003,benign,rsu-1,rsu,rsu-1,4.0,False,-1,0.78,0.96,0.99,0.76,0.92,ca97e4230b8bb2ab46d04b472f5d9c81fcb763332c3d997059b894abefa2054a,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 149.37584605317866}"
det-83a4f41a18ec5107415c0ae4,case-grid-1006-veh_000-benign,root-f9c1c9ec27ff6e8ca8c54bb8,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000003,benign,rsu-6,rsu,rsu-6,4.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,f1cca09974ecf7e5e952323bce01107fa08313f4649af3346da3bd908becb4da,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 404.7792394093337}"
det-8c46826c5d649c5f5a8464f3,case-grid-1006-veh_001-benign,root-46d7e80434a0e84f096395a4,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000002,benign,rsu-3,rsu,rsu-3,4.0,False,-1,0.78,0.9359999999999999,0.99,0.76,0.92,067cb154906d3630dfbd7bec24b3522e8d3ed30ff32ecfd1687d6ed633894d9c,cell-3-1,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 366.58732401528573}"
det-52d5ff67f96ec7f501bb007a,case-grid-1006-veh_001-benign,root-46d7e80434a0e84f096395a4,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000002,benign,rsu-4,rsu,rsu-4,4.0,False,-1,0.78,0.9239999999999999,0.99,0.76,0.68,5170c454adcfb6773bb3cafec9d0827e8fda61af69dd35e1966db0324e58f83f,cell-2-3,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 201.19443397241804}"
det-b9a021745edd5dcb259c7699,case-grid-1006-veh_002-benign,root-779df548a660905ac97d5d35,1006,veh_002,ps-1c6d96a872d445c5,cam-1006-veh_002-000001,benign,rsu-5,rsu,rsu-5,4.0,False,-1,0.78,0.9119999999999999,0.99,0.76,0.92,050e412b2a4173343e4bbae1619ef1e223e25749b151d9f7bc7cadcbfb5b1d2b,cell-0-3,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 177.5708307237589}"
det-b40434c54c9c29ea96ed1e4d,case-grid-1006-veh_002-benign,root-779df548a660905ac97d5d35,1006,veh_002,ps-1c6d96a872d445c5,cam-1006-veh_002-000001,benign,rsu-6,rsu,rsu-6,4.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,8304487df3ca446384a9de4686e784b76fd3bf6d6bfd147994bcbbb4589e8aa7,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 399.03126575419907}"
det-ae6fce658b96e4124cd7f5e2,case-grid-1006-veh_003-benign,root-a0743e66e5a448e0426ac0ed,1006,veh_003,ps-14c7f29f7b5c3bcf,cam-1006-veh_003-000000,benign,rsu-2,rsu,rsu-2,4.0,False,-1,0.78,0.948,0.99,0.76,0.92,fe3a46948f2cf04f7b18c75d165b327e63988015f5bfac7f5f5785840bb5a560,cell-2-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 201.77078579417787}"
det-b6a93f30c18b2108e4753556,case-grid-1006-veh_003-benign,root-a0743e66e5a448e0426ac0ed,1006,veh_003,ps-14c7f29f7b5c3bcf,cam-1006-veh_003-000000,benign,rsu-3,rsu,rsu-3,4.0,False,-1,0.78,0.9359999999999999,0.99,0.76,0.68,b23c2e8f38acfb55a7da605043a649ca149b53818737d941fd948d2448cb2a9a,cell-3-1,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 4.0, ""compromised_rsu"": false, ""observer_distance_m"": 391.7032677933642}"
