seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1010,case-1010-veh_013-w0000,vehicle_witness,1,1,0,0.0
1010,case-1010-veh_013-w0001,rsu,45,15,30,0.6666666666666666
1010,case-1010-veh_013-w0001,vehicle_witness,24,24,0,0.0
1010,case-1010-veh_013-w0002,rsu,53,15,38,0.7169811320754716
1010,case-1010-veh_013-w0002,vehicle_witness,108,108,0,0.0
1010,case-1010-veh_013-w0003,rsu,63,15,48,0.7619047619047619
1010,case-1010-veh_013-w0003,vehicle_witness,118,118,0,0.0
1010,case-1010-veh_013-w0004,rsu,49,15,34,0.6938775510204082
1010,case-1010-veh_013-w0004,vehicle_witness,60,60,0,0.0
1010,case-1010-veh_013-w0005,rsu,45,15,30,0.6666666666666666
1010,case-1010-veh_013-w0005,vehicle_witness,29,29,0,0.0
1010,case-1010-veh_013-w0006,rsu,3,1,2,0.6666666666666666
1010,case-1010-veh_013-w0006,vehicle_witness,1,1,0,0.0
1010,case-1010-veh_014-w0001,rsu,32,15,17,0.53125
1010,case-1010-veh_014-w0001,vehicle_witness,30,30,0,0.0
1010,case-1010-veh_014-w0002,rsu,240,15,225,0.9375
1010,case-1010-veh_014-w0002,vehicle_witness,396,99,297,0.75
1010,case-1010-veh_014-w0003,rsu,236,15,221,0.9364406779661016
1010,case-1010-veh_014-w0003,vehicle_witness,420,105,315,0.75
1010,case-1010-veh_014-w0004,rsu,104,13,91,0.875
1010,case-1010-veh_014-w0004,vehicle_witness,52,13,39,0.75
1010,case-1010-veh_015-w0001,rsu,32,14,18,0.5625
1010,case-1010-veh_015-w0001,vehicle_witness,20,20,0,0.0
1010,case-1010-veh_015-w0002,rsu,60,15,45,0.75
1010,case-1010-veh_015-w0002,vehicle_witness,105,105,0,0.0
1010,case-1010-veh_015-w0003,rsu,47,15,32,0.6808510638297872
1010,case-1010-veh_015-w0003,vehicle_witness,73,73,0,0.0
1010,case-1010-veh_015-w0004,rsu,12,6,6,0.5
1010,case-1010-veh_015-w0004,vehicle_witness,11,11,0,0.0
1010,case-1010-veh_016-w0001,rsu,29,13,16,0.5517241379310345
1010,case-1010-veh_016-w0001,vehicle_witness,13,13,0,0.0
1010,case-1010-veh_016-w0002,rsu,31,15,16,0.5161290322580645
1010,case-1010-veh_016-w0002,vehicle_witness,25,25,0,0.0
1010,case-1010-veh_016-w0003,rsu,30,15,15,0.5
1010,case-1010-veh_016-w0003,vehicle_witness,27,27,0,0.0
1010,case-1010-veh_016-w0004,rsu,35,15,20,0.5714285714285714
1010,case-1010-veh_016-w0004,vehicle_witness,56,56,0,0.0
1010,case-1010-veh_016-w0005,rsu,30,15,15,0.5
1010,case-1010-veh_016-w0005,vehicle_witness,46,46,0,0.0
1010,case-1010-veh_016-w0006,rsu,12,6,6,0.5
1010,case-1010-veh_016-w0006,vehicle_witness,9,9,0,0.0
1010,case-1010-veh_017-w0001,rsu,24,12,12,0.5
1010,case-1010-veh_017-w0001,vehicle_witness,12,12,0,0.0
1010,case-1010-veh_017-w0002,rsu,30,15,15,0.5
1010,case-1010-veh_017-w0002,vehicle_witness,36,36,0,0.0
1010,case-1010-veh_017-w0003,rsu,31,15,16,0.5161290322580645
1010,case-1010-veh_017-w0003,vehicle_witness,23,23,0,0.0
1010,case-1010-veh_017-w0004,rsu,30,15,15,0.5
1010,case-1010-veh_017-w0004,vehicle_witness,37,37,0,0.0
1010,case-1010-veh_017-w0005,rsu,30,15,15,0.5
1010,case-1010-veh_017-w0005,vehicle_witness,47,47,0,0.0
1010,case-1010-veh_017-w0006,rsu,13,6,7,0.5384615384615384
1010,case-1010-veh_017-w0006,vehicle_witness,5,5,0,0.0
1010,case-1010-veh_018-w0001,rsu,22,11,11,0.5
1010,case-1010-veh_018-w0001,vehicle_witness,11,11,0,0.0
1010,case-1010-veh_018-w0002,rsu,35,15,20,0.5714285714285714
1010,case-1010-veh_018-w0002,vehicle_witness,15,15,0,0.0
1010,case-1010-veh_018-w0003,rsu,30,15,15,0.5
1010,case-1010-veh_018-w0003,vehicle_witness,34,34,0,0.0
1010,case-1010-veh_018-w0004,rsu,34,15,19,0.5588235294117647
1010,case-1010-veh_018-w0004,vehicle_witness,55,55,0,0.0
