architecture,mean_mcc,mean_recall,mean_frr,mean_latency_p95_ms,mean_bytes_per_decision,mean_pdr,mean_consensus_success,mean_cpu_time_seconds,mean_peak_memory_kb,ledger_consistency_rate
ahmed_inspired_witness_vpuft,0.8507345849995908,0.8774581939799331,0.026631973909575023,14495.937571873767,74737.64239551731,0.9808340376061662,1.0,2.353125,7872.71279296875,1.0
centralized_vpuft,0.8367422828546005,0.8197753623188406,0.017278104068614797,14149.362470276985,27505.241294209874,0.9802768575323144,,1.6328125,4942.46865234375,1.0
distributed_rsu_vpuft,0.8367422828546005,0.8197753623188406,0.017278104068614797,14355.52159826362,26445.00094437546,0.9803768380388573,1.0,1.640625,4948.526953125,1.0
