configuration,TP,FP,TN,FN,precision,recall,frr,mcc
article_native_threshold_reference,244,348,779,6,0.41216216216216217,0.976,0.3087843833185448,0.5195202536977973
ahmed_inspired_with_vpuft,219,30,1097,31,0.8795180722891566,0.876,0.026619343389529725,0.8507071938250381
