central_comparator,topology,vehicle_count,metric,paired_seed_count,distributed_mean,central_mean,mean_difference_distributed_minus_central,ci95_lower,ci95_upper,wilcoxon_raw_p,rank_biserial,holm_adjusted_p_within_comparator_metric_20_cells,holm_reject_0_05,analysis_family
central_crn_available_0ms,corridor,60,mcc,10,0.7927230193642865,0.7927230193642865,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,60,latency_p95_ms,10,15163.817336136135,14363.105297103448,800.712039032687,759.5290523049741,847.3972931688139,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,60,messages_per_decision,10,31.99422350760876,41.106131952992634,-9.111908445383879,-9.163318737151151,-9.052863503304092,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,60,bytes_per_decision,10,34237.279927646414,28938.71689490682,5298.563032739602,4959.897678749862,5645.023785809479,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,60,mean_queue_delay_ms,10,5041.65603632001,6057.758596685466,-1016.1025603654567,-1037.9650311524883,-997.2385011328602,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,60,packet_delivery_ratio,10,0.9800847038864002,0.9800838296350272,8.74251373172985e-07,-0.0004115838131948482,0.00041849147613027144,1.0,-0.01818181818181818,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,60,cpu_time_seconds,10,6.521875,4.3671875,2.1546875,2.0140625,2.3171875,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,60,peak_memory_kb,10,13593.82236328125,14298.75888671875,-704.9365234375,-761.8567797851562,-638.6248242187502,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,trust_precision,10,0.9134131573073262,0.9134131573073262,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,malicious_revocation_recall,10,0.6848572954822956,0.6848572954822956,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,false_revocation_rate,10,0.009592237941200869,0.009592237941200869,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,trust_f1,10,0.7825955394800456,0.7825955394800456,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,mcc,10,0.7657303449735624,0.7657303449735624,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,latency_p95_ms,10,15329.353644856503,14454.190259745228,875.1633851112725,837.1552567804906,906.8526920948366,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,messages_per_decision,10,31.51472172613604,40.3914924853236,-8.87677075918756,-8.94592942931257,-8.801973900177591,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,bytes_per_decision,10,32067.499218714052,28435.61070966781,3631.8885090462436,3376.859483527543,3951.889262965902,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,mean_queue_delay_ms,10,5154.859128211458,6172.853022994417,-1017.993894782959,-1035.353478233445,-1000.002674302117,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,packet_delivery_ratio,10,0.9799356220490983,0.9801400146823827,-0.00020439263328425605,-0.0005935734174160196,0.00013770525007170728,0.375,-0.34545454545454546,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,cpu_time_seconds,10,7.6265625,5.16875,2.4578125,2.346875,2.6046875,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,80,peak_memory_kb,10,17100.13662109375,17883.49296875,-783.35634765625,-856.7669677734375,-700.1527563476564,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,trust_precision,10,0.9083747163315188,0.9083747163315188,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,malicious_revocation_recall,10,0.6918460152084501,0.6918460152084501,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,false_revocation_rate,10,0.009417985855802469,0.009417985855802469,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
