architecture,TP,FP,TN,FN,precision,recall,frr,f1,mcc
central_crn_available_0ms,5859,617,61589,2726,0.9047251389746758,0.6824694234129295,0.009918657364241391,0.778035986986256,0.761555926917669
central_crn_operational_0ms,5827,615,61591,2758,0.9045327538031667,0.6787419918462434,0.00988650612481111,0.7755373660743993,0.7591669967436381
distributed_crn_honest,5854,617,61589,2731,0.9046515221758615,0.6818870122306349,0.009918657364241391,0.7776301806588736,0.7611607602221672
