topology,vehicle_count,seed,architecture,backhaul_extra_latency_ms,message_type,messages,delivered,dropped,bytes_total,retransmissions,mean_queue_delay_ms
smoke,20,1007,distributed_crn_honest,0.0,PRE_PREPARE,33,33,0,17952,0,0.0
smoke,20,1007,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2917,2866,51,2053568,51,4955.870725631022
smoke,20,1007,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,23,22,1,25760,1,0.0
smoke,20,1007,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,34,33,1,1308416,1,37.38642189434765
smoke,20,1007,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4430,4340,90,3118720,90,5614.298298871422
smoke,20,1007,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4430,4340,90,3118720,90,5614.298298871422
smoke,20,1008,distributed_crn_honest,0.0,COMMIT,122,120,2,42944,2,0.0
smoke,20,1008,distributed_crn_honest,0.0,LEDGER_REPLICATION,30,30,0,33600,0,0.0
smoke,20,1008,distributed_crn_honest,0.0,PREPARE,120,120,0,42240,0,0.0
smoke,20,1008,distributed_crn_honest,0.0,PRE_PREPARE,30,30,0,16320,0,0.0
smoke,20,1008,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2868,2817,51,2019072,51,4930.813460855559
smoke,20,1008,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,20,20,0,22400,0,0.0
smoke,20,1008,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,30,30,0,1240704,0,31.853909073048452
smoke,20,1008,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4388,4307,81,3089152,81,5637.0382734731875
smoke,20,1008,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4388,4307,81,3089152,81,5637.0382734731875
smoke,20,1009,distributed_crn_honest,0.0,COMMIT,135,132,3,47520,3,0.0
smoke,20,1009,distributed_crn_honest,0.0,LEDGER_REPLICATION,33,33,0,36960,0,0.0
smoke,20,1009,distributed_crn_honest,0.0,PREPARE,133,132,1,46816,1,0.0
smoke,20,1009,distributed_crn_honest,0.0,PRE_PREPARE,34,33,1,18496,1,0.0
smoke,20,1009,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2944,2879,65,2072576,65,4619.267694165904
smoke,20,1009,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,24,22,2,26880,2,0.0
smoke,20,1009,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,34,33,1,1456960,1,39.39968706112939
smoke,20,1009,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4407,4318,89,3102528,89,5606.1859332880385
smoke,20,1009,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4407,4318,89,3102528,89,5606.1859332880385
smoke,20,1010,distributed_crn_honest,0.0,COMMIT,135,132,3,47520,3,0.0
smoke,20,1010,distributed_crn_honest,0.0,LEDGER_REPLICATION,33,33,0,36960,0,0.0
smoke,20,1010,distributed_crn_honest,0.0,PREPARE,132,132,0,46464,0,0.0
smoke,20,1010,distributed_crn_honest,0.0,PRE_PREPARE,33,33,0,17952,0,0.0
smoke,20,1010,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2925,2870,55,2059200,55,4773.76559418979
smoke,20,1010,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,22,22,0,24640,0,0.0
smoke,20,1010,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,34,33,1,1330240,1,27.464578640713956
smoke,20,1010,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4431,4336,95,3119424,95,5623.775978334543
smoke,20,1010,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4431,4336,95,3119424,95,5623.775978334543
smoke,40,1001,distributed_crn_honest,0.0,COMMIT,219,216,3,77088,3,0.0
smoke,40,1001,distributed_crn_honest,0.0,LEDGER_REPLICATION,55,54,1,61600,1,0.0
smoke,40,1001,distributed_crn_honest,0.0,PREPARE,219,216,3,77088,3,0.005487083400889808
smoke,40,1001,distributed_crn_honest,0.0,PRE_PREPARE,57,54,3,31008,3,0.0
smoke,40,1001,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5229,5140,89,3681216,89,5313.095980392089
smoke,40,1001,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,40,36,4,44800,4,0.0
smoke,40,1001,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,55,54,1,1797312,1,53.290567613368786
smoke,40,1001,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,7915,7774,141,5572160,141,6018.462901326789
smoke,40,1001,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,7915,7774,141,5572160,141,6018.462901326789
smoke,40,1002,distributed_crn_honest,0.0,COMMIT,272,264,8,95744,8,0.0
smoke,40,1002,distributed_crn_honest,0.0,LEDGER_REPLICATION,69,66,3,77280,3,0.0
smoke,40,1002,distributed_crn_honest,0.0,PREPARE,270,264,6,95040,6,0.0
smoke,40,1002,distributed_crn_honest,0.0,PRE_PREPARE,66,66,0,35904,0,0.0
smoke,40,1002,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5281,5191,90,3717824,90,5169.2541247787085
smoke,40,1002,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,44,44,0,49280,0,0.0
smoke,40,1002,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,66,66,0,2181696,0,81.29007495623901
smoke,40,1002,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,8016,7868,148,5643264,148,5954.307695608962
smoke,40,1002,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,8016,7868,148,5643264,148,5954.307695608962
smoke,40,1003,distributed_crn_honest,0.0,COMMIT,245,240,5,86240,5,0.0
smoke,40,1003,distributed_crn_honest,0.0,LEDGER_REPLICATION,61,60,1,68320,1,0.0
