topology,vehicle_count,architecture,seed_count,trust_precision__mean,malicious_revocation_recall__mean,false_revocation_rate__mean,trust_f1__mean,mcc__mean,latency_p95_ms__mean,messages_per_decision__mean,bytes_per_decision__mean,mean_queue_delay_ms__mean,packet_delivery_ratio__mean,cpu_time_seconds__mean,peak_memory_kb__mean,trust_precision__median,malicious_revocation_recall__median,false_revocation_rate__median,trust_f1__median,mcc__median,latency_p95_ms__median,messages_per_decision__median,bytes_per_decision__median,mean_queue_delay_ms__median,packet_delivery_ratio__median,cpu_time_seconds__median,peak_memory_kb__median,trust_precision__std,malicious_revocation_recall__std,false_revocation_rate__std,trust_f1__std,mcc__std,latency_p95_ms__std,messages_per_decision__std,bytes_per_decision__std,mean_queue_delay_ms__std,packet_delivery_ratio__std,cpu_time_seconds__std,peak_memory_kb__std
corridor,20,central_crn_available_0ms,10,0.9214951714951715,0.7125,0.0085470085470085,0.8019331115882841,0.7878964778288545,14145.199444466483,41.739097744360905,29384.324812030078,5655.432653476703,0.9799741926970367,1.409375,4919.4501953125,0.9230769230769232,0.75,0.0085470085470085,0.8137931034482758,0.7945592489746587,14141.638465789018,41.7406015037594,29385.38345864662,5654.793728273255,0.9799117276166456,1.4140625,4914.541015625,0.0341845202052285,0.052704627669472995,0.004029098468299394,0.03097345366234633,0.02890260514566546,12.835346649618643,0.11107310233625477,78.19546404472294,13.525717829528206,0.002357981050210301,0.03741309374180831,17.406103450478554
corridor,20,central_crn_operational_0ms,10,0.9205860805860807,0.70625,0.0085470085470085,0.7970898067449792,0.7834286254813763,14145.262747002396,41.739097744360905,29384.324812030078,5655.432653476703,0.9799741926970367,1.409375,4916.05947265625,0.9230769230769232,0.75,0.0085470085470085,0.8137931034482758,0.7945592489746587,14141.679247271124,41.7406015037594,29385.38345864662,5654.793728273255,0.9799117276166456,1.40625,4904.16455078125,0.034668501560347245,0.06620936909196126,0.004029098468299394,0.04304112215907541,0.04035976117992187,12.79624003782068,0.11107310233625477,78.19546404472294,13.525717829528206,0.002357981050210301,0.05092461067325127,35.391109728250264
corridor,20,distributed_crn_honest,10,0.9214951714951715,0.7125,0.0085470085470085,0.8019331115882841,0.7878964778288545,14412.226846305144,32.59473684210526,37550.0030075188,4275.9392536603345,0.9802821913536984,2.2578125,4795.0021484375,0.9230769230769232,0.75,0.0085470085470085,0.8137931034482758,0.7945592489746587,14403.851757756322,32.55639097744361,37338.10526315789,4290.913852772866,0.980998821504018,2.2578125,4794.27197265625,0.0341845202052285,0.052704627669472995,0.004029098468299394,0.03097345366234633,0.02890260514566546,26.49577852917992,0.2630850836138254,1095.8191713043443,67.86870747632076,0.002598470297113751,0.048440300098276795,11.532255922462612
corridor,40,central_crn_available_0ms,10,0.9174177929350344,0.79375,0.009829059829059789,0.8506764403204737,0.8349878041975195,14257.610402883083,41.56015037593985,29258.345864661656,5967.563818768043,0.980191717093587,2.8484375,9770.3298828125,0.9245014245014247,0.796875,0.0085470085470085,0.8499583217560434,0.8335288045412537,14256.99392794741,41.55075187969925,29251.72932330827,5970.456245449805,0.9805466262410623,2.8203125,9743.5810546875,0.013760607340986447,0.030190368221228007,0.00206429868179338,0.015006912436071851,0.015028529954577326,7.0271513659471525,0.06436273703456824,45.311366872335626,6.818213086730939,0.001305997491780203,0.09661423236683786,57.75005026040374
corridor,40,central_crn_operational_0ms,10,0.9174177929350344,0.79375,0.009829059829059789,0.8506764403204737,0.8349878041975195,14257.737440126812,41.56015037593985,29258.345864661656,5967.563818768043,0.980191717093587,2.8671875,9785.6158203125,0.9245014245014247,0.796875,0.0085470085470085,0.8499583217560434,0.8335288045412537,14257.212299448707,41.55075187969925,29251.72932330827,5970.456245449805,0.9805466262410623,2.859375,9792.603515625,0.013760607340986447,0.030190368221228007,0.00206429868179338,0.015006912436071851,0.015028529954577326,7.061555182077287,0.06436273703456824,45.311366872335626,6.818213086730939,0.001305997491780203,0.09610751087107258,54.35484449461797
corridor,40,distributed_crn_honest,10,0.9174177929350344,0.79375,0.009829059829059789,0.8506764403204737,0.8349878041975195,14772.668044429529,32.57105263157895,36063.89172932331,4813.976253085551,0.9805540772642786,4.4546875,9354.7630859375,0.9245014245014247,0.796875,0.0085470085470085,0.8499583217560434,0.8335288045412537,14771.550598761609,32.51691729323308,35477.112781954886,4817.718754169516,0.9801958210951149,4.3984375,9344.56494140625,0.013760607340986447,0.030190368221228007,0.00206429868179338,0.015006912436071851,0.015028529954577326,58.348234533618665,0.2039217170460261,1210.1113172480889,35.09770975253077,0.0009502677055108625,0.1810897879084358,33.96213108723993
corridor,60,central_crn_available_0ms,10,0.9230997191523509,0.7200984393757504,0.00875159011808961,0.8089173603528504,0.7927230193642865,14363.105297103448,41.106131952992634,28938.71689490681,6057.758596685466,0.9800838296350272,4.3671875,14298.75888671875,0.9230769230769232,0.72,0.0087336429588446,0.8089887640449438,0.7926925162308427,14361.398629357602,41.12722646310433,28953.567430025447,6058.6515155459565,0.9801146014410255,4.390625,14297.994140625,0.011637031801596484,0.02168297930749059,0.0013748241366276187,0.015914558424685712,0.016591103417170447,11.783009415815629,0.10212113231051242,71.89327714660001,9.236402083642744,0.0014382598691765455,0.1944948161441441,83.80459226612314
corridor,60,central_crn_operational_0ms,10,0.9226839187365504,0.7160984393757504,0.00875159011808961,0.8061794034885861,0.7900447238994754,14363.29600640121,41.106131952992634,28938.71689490681,6057.758596685466,0.9800838296350272,4.3125,14280.86806640625,0.9230769230769232,0.72,0.0087336429588446,0.8044943820224719,0.7880039817558806,14361.431917251084,41.12722646310433,28953.567430025447,6058.6515155459565,0.9801146014410255,4.2890625,14287.4833984375,0.011711979875491786,0.025120242998872454,0.0013748241366276187,0.01810532526096539,0.01861727615001981,11.702051706356702,0.10212113231051242,71.89327714660001,9.236402083642744,0.0014382598691765455,0.19193256013216967,51.10625708309413
corridor,60,distributed_crn_honest,10,0.9230997191523509,0.7200984393757504,0.00875159011808961,0.8089173603528504,0.7927230193642865,15163.817336136137,31.99422350760876,34237.279927646414,5041.65603632001,0.9800847038864002,6.521875,13593.82236328125,0.9230769230769232,0.72,0.0087336429588446,0.8089887640449438,0.7926925162308427,15146.283380441871,31.996215497087356,34255.638256715174,5049.624009452516,0.980014762072184,6.4140625,13593.46240234375,0.011637031801596484,0.02168297930749059,0.0013748241366276187,0.015914558424685712,0.016591103417170447,72.72868212906262,0.1300038632357105,594.3539289262663,41.25639171643564,0.001855441575657141,0.2825202795080971,108.57417714731896
corridor,80,central_crn_available_0ms,10,0.9134131573073262,0.6848572954822955,0.00959223794120087,0.7825955394800455,0.7657303449735624,14454.190259745232,40.3914924853236,28435.61070966781,6172.853022994417,0.9801400146823827,5.16875,17883.49296875,0.9166666666666666,0.6846590909090908,0.009142869084563701,0.7822376738305942,0.765831756260586,14455.581064278946,40.405930948175495,28445.775387515547,6172.64560218794,0.9802144091659726,5.1640625,17896.14990234375,0.007981269713219314,0.02483717529640175,0.0009475092035910113,0.017622690674071163,0.017599159569340557,10.84179845493596,0.08167429868109179,57.498706271488714,10.806066467381061,0.0014178896962528198,0.12298726785954536,116.965184827057
