architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb
distributed_crn_honest,18,2,216,14,0.9,0.5625,0.009174311926605505,0.4375,0.9908256880733946,0.6923076923076923,0.6814047440467477,9000.0,14206.501142526911,379.23750862171806,14239.528173854495,14571.647497338014,14600.847630044638,13.4831118466888,5989,23.956,6033024,24132.096,108,4530.897870412076,0.9819669393888796,1.0,0,0,0,20,1,0,0,5.2434139999968465,smoke,40,1007,0.0,5.140625,6849.822265625
central_crn_available_0ms,18,2,216,14,0.9,0.5625,0.009174311926605505,0.4375,0.9908256880733946,0.6923076923076923,0.6814047440467477,9000.0,14251.708628011906,0.0,14086.09721647036,14229.164223279358,14329.470518764196,1.0000000000012221,7986,31.944,5622144,22488.576,152,5922.2193538694555,0.9809666917104933,,0,0,0,20,1,0,0,3.884058099996764,smoke,40,1007,0.0,3.84375,7114.876953125
central_crn_operational_0ms,18,2,216,14,0.9,0.5625,0.009174311926605505,0.4375,0.9908256880733946,0.6923076923076923,0.6814047440467477,9000.0,14251.708628011906,0.0,14086.09721647036,14229.164223279358,14329.470518764196,1.0000000000012221,7986,31.944,5622144,22488.576,152,5922.2193538694555,0.9809666917104933,,0,0,0,20,1,0,0,3.112757499999134,smoke,40,1007,0.0,3.015625,7113.142578125
distributed_crn_honest,20,2,215,12,0.9090909090909091,0.625,0.009216589861751152,0.375,0.9907834101382489,0.7407407407407406,0.7261202883531214,8599.999999999995,14189.584659885073,483.4329740857491,14352.689701781448,14694.739456235935,14748.574565244997,15.86725270073517,6020,24.176706827309236,6467552,25974.104417670682,120,4541.217797450014,0.9799003322259137,1.0,0,0,0,22,1,0,0,2.9653039000113495,smoke,40,1008,0.0,2.9375,6702.916015625
central_crn_available_0ms,20,2,215,12,0.9090909090909091,0.625,0.009216589861751152,0.375,0.9907834101382489,0.7407407407407406,0.7261202883531214,8599.999999999995,14229.979698493511,0.0,14084.504385352717,14229.458515540295,14293.956526833847,1.0000000000012221,7946,31.91164658634538,5593984,22465.79919678715,161,5930.627191543093,0.9796123835892273,,0,0,0,22,1,0,0,2.0456707999983337,smoke,40,1008,0.0,2.0,7038.3740234375
central_crn_operational_0ms,20,2,215,12,0.9090909090909091,0.625,0.009216589861751152,0.375,0.9907834101382489,0.7407407407407406,0.7261202883531214,8599.999999999995,14229.979698493511,0.0,14084.504385352717,14229.458515540295,14293.956526833847,1.0000000000012221,7946,31.91164658634538,5593984,22465.79919678715,161,5930.627191543093,0.9796123835892273,,0,0,0,22,1,0,0,1.9984531000081915,smoke,40,1008,0.0,1.984375,7035.9365234375
distributed_crn_honest,20,2,218,12,0.9090909090909091,0.625,0.00909090909090909,0.375,0.990909090909091,0.7407407407407406,0.7264867294177659,10000.0,14225.935925872882,331.4373308281663,14223.513078787706,14542.742880197313,14571.270431096382,16.216626001815193,6148,24.396825396825395,6217600,24673.015873015873,141,4487.866290404591,0.9770657124268055,1.0,0,0,0,22,1,0,0,5.174565900000744,smoke,40,1009,0.0,5.140625,6834.18359375
central_crn_available_0ms,20,2,218,12,0.9090909090909091,0.625,0.00909090909090909,0.375,0.990909090909091,0.7407407407407406,0.7264867294177659,10000.0,14206.612004417453,0.0,14089.6335141408,14261.614286299133,14298.165501558538,1.0000000000012221,8088,32.095238095238095,5693952,22595.04761904762,191,5914.973294757845,0.9763847675568744,,0,0,0,22,1,0,0,3.2742993000138085,smoke,40,1009,0.0,3.234375,7171.5810546875
central_crn_operational_0ms,20,2,218,12,0.9090909090909091,0.625,0.00909090909090909,0.375,0.990909090909091,0.7407407407407406,0.7264867294177659,10000.0,14206.612004417453,0.0,14089.6335141408,14261.614286299133,14298.165501558538,1.0000000000012221,8088,32.095238095238095,5693952,22595.04761904762,191,5914.973294757845,0.9763847675568744,,0,0,0,22,1,0,0,2.1542914000165183,smoke,40,1009,0.0,2.125,7145.5107421875
distributed_crn_honest,19,2,217,11,0.9047619047619048,0.6333333333333333,0.0091324200913242,0.36666666666666664,0.9908675799086758,0.7450980392156863,0.7311896134918339,8599.999999999995,14179.080119092454,340.23548967478234,14237.4236426331,14568.400655915993,14614.410346187671,15.174658688287934,5989,24.052208835341364,5735072,23032.41767068273,110,4585.981427775202,0.981632993822007,1.0,0,0,0,21,1,0,0,2.915635999990627,smoke,40,1010,0.0,2.875,6694.83203125
